iter	RMSE
0	677623.6276
1	676977.2562
2	676331.335
3	675781.644
4	675227.4541
5	674542.823
6	673878.5884
7	673183.8217
8	672545.1823
9	671908.1299
10	671213.6636
11	670610.1577
12	669938.1143
13	669416.0588
14	668810.4672
15	668077.275
16	667413.7868
17	666779.6695
18	666154.3402
19	665512.9495
20	664900.2507
21	664289.2367
22	663637.8785
23	663005.7726
24	662319.3661
25	661673.3107
26	661050.1157
27	660352.745
28	659722.4418
29	659116.2533
30	658544.7574
31	657891.6642
32	657274.6184
33	656692.5714
34	656090.4137
35	655524.213
36	654887.992
37	654225.4533
38	653592.9767
39	653037.1878
40	652445.1076
41	651848.8721
42	651219.3533
43	650626.3772
44	650008.144
45	649374.2298
46	648751.2704
47	648185.0681
48	647562.3318
49	646960.839
50	646350.9066
51	645703.9247
52	645003.8853
53	644389.4369
54	643768.9662
55	643177.6484
56	642615.8694
57	642019.8507
58	641403.2032
59	640764.6912
60	640133.5631
61	639443.2866
62	638849.8026
63	638294.7263
64	637700.005
65	637079.5701
66	636415.3012
67	635796.0583
68	635209.4792
69	634541.625
70	633977.5089
71	633352.6974
72	632783.2236
73	632268.8707
74	631647.1665
75	630986.632
76	630454.9035
77	629772.5473
78	629154.769
79	628550.3039
80	627887.5458
81	627263.548
82	626654.4532
83	626027.4826
84	625342.4082
85	624763.9737
86	624155.0379
87	623554.3793
88	623000.1575
89	622469.2926
90	621926.2319
91	621336.1656
92	620778.3653
93	620250.8926
94	619698.7953
95	619068.6629
96	618459.3364
97	617867.3256
98	617258.2464
99	616702.3026
100	616087.0596
101	615474.0963
102	614895.6285
103	614283.6305
104	613760.6802
105	613245.5317
106	612606.8308
107	612072.4817
108	611497.2119
109	610909.6541
110	610317.2242
111	609756.107
112	609201.3265
113	608596.6423
114	608087.1677
115	607473.9168
116	606923.7368
117	606366.6387
118	605812.8231
119	605230.915
120	604649.9329
121	604100.2985
122	603550.8562
123	602970.1682
124	602460.4392
125	601942.5258
126	601412.2203
127	600858.8542
128	600315.7641
129	599826.6196
130	599307.4292
131	598742.0742
132	598197.4756
133	597625.7929
134	597057.5795
135	596492.8226
136	595890.9752
137	595386.8084
138	594913.8813
139	594330.9471
140	593783.0962
