Month_Day,2018,2019,2020,2021,2022,2023
01-01,337485,686993,1284272,1244317,1285112,2259888.8
01-02,1030556,1920106,985410,1499299,805926,3378742.8
01-03,1030556,1598395,985410,1115398,1198180,2812639.2
01-04,697207,1621244,110652,213313,2054215,2852846.2
01-05,1464201,148152,985410,1020265,1198180,2576503.5
01-06,1841074,384235,60000,18988,1198180,3239674.2
01-07,1830587,995967,1308975,557750,1198180,3221219.5
01-08,1159316,665465,985410,1599498,262227,2814580.0
01-09,630753,301686,1073901,1941132,782974,3415740.5
01-10,1557073,1906228,985410,1001102,2744039,3354322.8
01-11,1030556,1969674,1564611,1001102,1662263,3465966.0
01-12,263069,389311,711530,135143,1467857,1252056.4
01-13,1030556,995967,1772869,470994,1198180,3119654.2
01-14,508842,330847,645836,107926,1198180,1136456.9
01-15,2354455,1319344,83479,564197,447559,4143050.5
01-16,1030556,661691,985410,824859,1483570,1813434.2
01-17,1354446,86607,780435,359376,262993,2383371.5
01-18,629733,628160,985410,1282300,157045,2256418.2
01-19,1577791,1494600,603142,1001102,1128200,2776384.0
01-20,142694,995967,439939,963493,1198180,1752569.1
01-21,1030556,1474941,1952793,158840,2101004,3436262.0
01-22,2527535,1467823,192738,185522,1001912,4447613.5
01-23,1030556,142513,1061872,1548146,1129780,2724218.8
01-24,1030556,27319,227081,413233,143641,1813434.2
01-25,1030556,1222646,985410,319128,1145817,2151448.5
01-26,1104338,1206472,985410,1001102,1159382,2122987.8
01-27,954906,995967,784544,492286,185400,1752569.1
01-28,1015526,825453,2632286,396486,1198180,4631938.0
01-29,942716,1847598,945094,1962881,153826,3454011.5
01-30,784595,150401,87876,493016,1643480,1380625.9
01-31,1030556,995967,906574,1001102,1198180,1813434.2
02-01,789490,1906464,985410,991597,1425002,3354737.5
02-02,1425029,52270,159551,54260,1741415,2507574.2
02-03,1496304,995967,507431,1001102,1198180,2632993.5
02-04,1411179,1249785,985410,1001102,1198180,2483202.8
02-05,1030556,995967,985410,158589,438234,1813434.2
02-06,329730,995967,2572838,2331196,1198180,4527331.5
02-07,688557,1476566,934975,977010,1843370,2598261.5
02-08,1030556,995967,985410,1101291,116126,1937903.8
02-09,1030556,312548,1268497,1001102,2471658,2232130.0
02-10,1088732,822724,1362825,1018816,478275,2398115.5
02-11,601293,132419,314981,1429343,1362634,2515165.8
02-12,460360,692093,985410,900457,726187,1733992.9
02-13,2398350,2191269,198297,211762,155059,4220291.5
02-14,1030556,303587,1049381,1001102,1198180,1846560.2
02-15,1030556,995967,985410,2408771,1652443,4238629.0
02-16,1093939,2517677,1070399,1001102,1949754,4430266.0
02-17,740732,995967,1500949,522482,1013301,2641167.0
02-18,523076,382618,985410,1252606,1198180,2204167.0
02-19,1489902,3008623,1716966,1001102,1198180,5294165.5
02-20,1030556,950731,985410,27739,837028,1813434.2
02-21,1030556,995967,796524,2229961,243382,3923983.0
02-22,101205,1678316,108480,1001102,2049523,2953274.0
02-23,1099768,995967,985410,1484415,858533,2612073.5
02-24,2467016,995967,470643,1001102,1128715,4341120.0
02-25,168321,239982,3137760,2253089,3460002,5521404.5
02-26,462624,1528091,985410,49365,150400,2688928.0
02-27,1030556,2832122,80500,63440,1931645,4983582.5
02-28,2634970,174908,1287027,1530044,1198180,4636663.0
02-29,1030556,995967,327600,1001102,1198180,1813434.2
03-01,1568864,30000,908411,1710320,416566,3009589.8
03-02,325350,184674,1692063,2318550,1198180,4079868.2
03-03,1030556,995967,1861632,1716547,2518352,3275848.0
03-04,851189,244133,985410,1001102,1198180,1761604.8
03-05,1030556,1455546,985410,516744,1198180,2561273.5
03-06,1030556,436210,985410,1001102,1307534,1813434.2
03-07,2081765,2330899,116658,717982,1675220,4101600.0
03-08,1030556,717189,985410,951038,2272944,1813434.2
03-09,1305558,1255571,985410,864154,392653,2297345.2
03-10,163942,995967,1643753,293124,2669379,2892455.2
03-11,115145,469899,985410,587201,1771864,1733992.9
03-12,510561,3456441,985410,494437,65685,6082174.0
03-13,2196313,350224,1229715,40683,135781,3864774.0
03-14,1030556,67000,985410,751293,1198180,1813434.2
03-15,1030556,1200668,1193342,1564704,1198180,2753354.5
03-16,1602161,995967,830256,1001102,1198180,2819266.5
03-17,1030556,76550,2627578,25192,4020098,4623656.0
03-18,1030556,1727729,155807,259051,1198180,3040224.5
03-19,1687425,2451760,32520,1001102,3059973,4314274.5
03-20,1655416,1080785,985410,1690959,179050,2975520.5
03-21,528260,995967,2705552,1001102,696148,4760863.5
03-22,162628,1498038,985410,2188064,1198180,3850259.5
03-23,1619254,1031149,794277,1001102,814368,2849345.2
03-24,1005079,104250,985410,1971625,1198180,3469398.8
03-25,598436,515081,1526106,1729813,1198180,3043890.8
03-26,158036,2629049,1260144,682275,1198180,4626242.0
03-27,2837339,39925,723123,199288,3101867,4992766.0
03-28,253320,2326837,985410,269973,1734929,4094450.5
03-29,1030556,1520655,985410,1275836,1124245,2675844.5
03-30,2553776,674306,12479,944108,1198180,4493788.5
03-31,236370,995967,109450,1001102,1045272,1761604.8
04-01,1030556,1092037,985410,1622925,1198180,2855805.5
04-02,711520,1838186,13758,516783,1372254,3234590.5
04-03,349977,1833010,1449469,3010,1482300,3225482.8
04-04,1030556,995967,505890,2721668,1198180,4789220.5
04-05,1281033,31072,2967374,549966,160327,5221582.5
04-06,1330727,2197125,985410,1001102,2018614,3866202.2
04-07,189976,497448,1800417,1683542,1198180,3168129.0
04-08,276556,995967,104170,1001102,1192210,1761604.8
04-09,86779,185406,207914,328894,1949806,578745.94
04-10,45650,1594842,985410,917857,570090,2806387.5
04-11,1491767,788430,991468,1391931,1198180,2625010.2
04-12,2331420,143531,985410,205531,615044,4102517.0
04-13,1339065,995967,1278310,814508,1198180,2356306.0
04-14,1030556,995967,384607,1001102,1519452,1813434.2
04-15,231700,254730,985410,687977,1198180,1733992.9
04-16,1426416,2638605,1258045,257374,2634165,4643059.0
04-17,827492,100604,985410,19160,283743,1733992.9
04-18,204610,995967,1351086,577931,163541,2377459.2
04-19,37276,1167496,985410,1001102,3491295,2054402.6
04-20,1849481,616066,1006134,1139429,1401885,3254466.0
04-21,1030556,66000,328831,2110869,1050181,3714422.0
04-22,683531,405199,44367,550225,1198180,1202787.1
04-23,1677626,1434860,985410,681433,221970,2952059.5
04-24,879540,690751,985410,282935,1267286,1733992.9
04-25,18000,445393,985410,1001102,1198180,1761604.8
04-26,1030556,1034416,3791522,1303232,539478,6671805.0
04-27,425729,995967,807485,1219717,477336,2146294.2
04-28,353346,995967,985410,292517,843429,1752569.1
04-29,1492435,1970252,2068891,1001102,1527271,3640554.5
04-30,1794152,2101064,985410,1238210,1037837,3697166.2
05-01,986364,995967,985410,1001102,66795,1761604.8
05-02,1030556,1015588,2110999,1001102,2361155,3714649.2
05-03,893405,1277713,1300098,1001102,2183113,2287736.8
05-04,1030556,2828337,985410,228621,1811580,4976925.0
05-05,101725,391165,2064058,1001102,608008,3632049.5
05-06,1165063,1031023,2700232,1250466,762558,4751501.0
05-07,1030556,533203,102836,332753,1198180,1813434.2
05-08,446726,1389275,1504014,15876,250165,2646560.5
05-09,1226065,2524884,236003,2124476,1198180,4442949.5
05-10,556401,995967,139570,2700007,2708486,4751106.5
05-11,1679491,1805895,991281,346950,1198180,3177770.0
05-12,344526,995967,1783359,1001102,501138,3138114.8
05-13,1030556,1205260,985410,1001102,1198180,2120854.8
05-14,1635511,1689095,985410,1103407,100686,2972240.8
05-15,1457846,72452,80000,1001102,2582503,2565321.5
05-16,1030556,15000,1536693,2389491,1710925,4204703.0
05-17,1030556,424325,985410,1001102,1198180,1813434.2
05-18,618354,1035713,1618502,1001102,335345,2848021.5
05-19,1724855,995967,1700775,980163,1198180,3035166.0
05-20,32977,1269085,985410,502782,1172228,2233165.0
05-21,1152978,1797842,766116,797311,329540,3163599.8
05-22,1569985,324857,1932343,1001102,2225042,3400276.0
05-23,224529,995967,985410,160463,641067,1752569.1
05-24,1030556,2000530,985410,1709501,328220,3520262.2
05-25,1030556,47878,1354063,410375,273731,2382697.2
05-26,2481189,995967,1144446,1001102,179127,4366059.0
05-27,2591526,1505501,985410,1001102,1730231,4560217.0
05-28,1030556,1827491,318615,1636455,1198180,3215772.8
05-29,1030556,860585,985410,2204343,1198180,3878904.5
05-30,1286324,995967,153876,1305059,5734111,2296467.8
05-31,421774,1792161,1343077,1001102,816859,3153602.8
06-01,703570,995967,908810,558130,1198180,1752569.1
06-02,2787360,53877,102000,678089,1198180,4904815.5
06-03,2401072,995967,924133,649070,1198180,4225080.0
06-04,1627907,43000,233917,880693,732844,2864570.5
06-05,1030556,145803,1311267,1795806,1474452,3160015.2
06-06,534235,397894,807514,611210,666718,1420955.6
06-07,1360307,10374,328430,1213845,1198180,2393685.8
06-08,3598011,1593326,928276,1001102,2919146,6331293.0
06-09,1030556,826587,985410,445759,1198180,1813434.2
06-10,806997,33113,1239409,224683,2610859,2180945.5
06-11,1590813,105504,985410,196783,1060373,2799298.5
06-12,4835,916661,174263,1470461,33434,2587518.2
06-13,825046,995967,1735664,1001102,1198180,3054186.5
06-14,1030556,482812,985410,534095,2993596,1813434.2
06-15,1280016,1730771,1899715,911277,816956,3342861.0
