Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
01-01,337485,686993,1284272,1244317,1285112,1386941.9314093369,1358868.4106824636,1358310.667355545,1356800.9787324648
01-02,1030556,1920106,985410,1499299,805926,870365.410011166,872856.8856570825,873348.6269846113,873350.1722630812
01-03,1030556,1598395,985410,1115398,1198180,1267312.441654765,1245056.8574286457,1249363.8043934512,1250599.8693686388
01-04,697207,1621244,110652,213313,2054215,1853981.288165104,1859477.9877947737,1858923.2482670727,1859485.2082291048
01-05,1464201,148152,985410,1020265,1198180,1249788.3999616948,1244658.2756818573,1241430.877559732,1239661.1034273244
01-06,1841074,384235,60000,18988,1198180,1142013.837961644,1138957.7276597824,1138266.70752358,1137707.5045982376
01-07,1830587,995967,1308975,557750,1198180,1138557.08973992,1146321.316616164,1145242.034435948,1143974.8669182772
01-08,1159316,665465,985410,1599498,262227,574747.9351780621,558216.7664869863,558518.5906349793,558108.1924242135
01-09,630753,301686,1073901,1941132,782974,753496.5343139567,764957.7288183742,766556.0162709411,766845.1025979209
01-10,1557073,1906228,985410,1001102,2744039,2436195.4026493845,2447977.869104985,2449107.8490957096,2449680.0738471537
01-11,1030556,1969674,1564611,1001102,1662263,1305542.9728786922,1341866.8235238586,1344457.5649574008,1345664.3785917812
01-12,263069,389311,711530,135143,1467857,1426720.268502024,1430624.5804719406,1431189.2131534766,1432426.1763062226
01-13,1030556,995967,1772869,470994,1198180,1156613.4064505198,1163629.2728541628,1164322.844144285,1165563.3825525362
01-14,508842,330847,645836,107926,1198180,1328073.611300973,1309068.9277776524,1309708.856649514,1310482.7016470344
01-15,2354455,1319344,83479,564197,447559,489561.7055944842,484561.358773765,485641.5983064766,486790.9253964275
01-16,1030556,661691,985410,824859,1483570,1383617.3612490413,1349222.0805007925,1346780.0798676016,1346806.5600309526
01-17,1354446,86607,780435,359376,262993,432583.73523373925,420487.2723493639,421010.0164379277,421306.52893351694
01-18,629733,628160,985410,1282300,157045,461198.7825777958,456694.8264396311,457443.5284533084,458086.98284116434
