Products,Exporter name,Quantity (Lakhs),Location,State,Latitude,Longitude,Gmap link,Distance(in km),,
ELEVATOR PARTS,2M COMPONENTS LLP,1.51371,"Mattoor, Kalady",Kerala,10.185018,76.425713,,,info@2mlifts.com,9.20E+11
TEA,A. TOSH & SONS (I) LTD.,3.65822,"Kinathukadavu, Coimbatore ",Tamilnadu,10.813841,76.986553,,,info@tosh.in,9.20E+11
RICE,A.K. AHAMED MODERAN RICE MILL,4.52294,Salem,Tamilnadu,,,,,,
FROZEN YELLOW TUNA,A.M.FISHERIES,37.2421,Alappuzha,Kerala,,,,,amfish2012@gmail.com,
COTTON GOODS,A.N.P.APPARELS,1.24261,"Sirupooluvapatti, Tirupur",Tamilnadu,11.118052,77.310808,,,,9.18E+11
FROZEN YELLOW TUNA,A.S.MARINE INDUSTRIES P.LTD.,22.4267,"Palluruthy nada ,Cochin",Kerala,,,,,info@asmarine.in,9.15E+11
COIR FIBER,A.V.EXPORTS,1.2833,Pollachi,Tamilnadu,,,,,,8035918885
TEA,A.V.THOMAS & CO. LTD.,3.11468,"Panampilly Nagar, Kochi,",Kerala ,9.9572757,76.2978373,,,contact@avtbeverages.com,4842315312
RICE,AARABHI EXPORTS,2.37832,Kavaraparambu Anagamaly ,Ernakulam ,,,,,,9495961057
TURMERIC POWDER,AB MAURI INDIA P.LTD.,52.10358,"Kakkanad,Kochi",Kerala ,10.000945,76.340926,,,spices@abmauri.com,4842413048
FROZEN SQUID,ABAD EXIM P. LTD.,9.34023,Kakkanad ,Kerala ,10.023096,76.340848,,,,4842413010
COCONUTS,ABI EGG TRADERS,1.62284,Nammakal,Tamil Nadu ,11.1452131,78.1609919,,,,9443726335
FROZEN SQUID,ABM MARINE PRODUCTS,26.17996,"Palluruthy, Kochi,

",Kerala,9.923886,76.26963,,,paxavierbiju@gmail.com,9846079833
TURMERIC,ABN TRADERS,14.13268,"Kadavanthara South, Ernakulam",Kerala ,,,,,sales@abntrades.com,91-4842310669
FOOD STUFFS,ABZ FROZEN FOOD,1.792,"Sadar Bazaar, Delhi ",Delhi ,28.658724,77.212568,,,contact@abzfrozenfoods.com,9654773492
SPICES,ACCELERATED FREEZE DRYING CO LTD.,16.04885,"Ezhupunna, Alappuzha",Kerala ,9.821443,76.299388,,,amalgam@amalgamfoods.in,0478-2877412
PLASTIC PRODUCTS,ACCUPLAST TECHNOLIOGIES,1.5488,"K G Halli, Jalahalli, Bengaluru ",Karnataka ,13.065523,77.52943,,,sales@accuplast.in,9986007252
FROZEN SQUID,ACQUA PEARL PROPERTIES AND EXPORTS ,9.14575,"Arookutty, Alappuzha ",Kerala ,,,,,,
ACTIVATED CARBON,ACTIVE CHAR PRODUCTS P.LTD.,45.38145,"Binanipuram, Kochi ",Kerala ,10.080067,76.305947,,,info@mfarcarbon.com,0484-6586362
ROSEWOOD PRODUCTS,ACUCHI EXIM P.LTD.,1.10648,"Vyttila , Kochi ",Kerala ,9.979834,76.318307,,,acuchieximpvtltd@gmail.com,
RICE,ADAM TRADING COMPANY,3.1211,Zirakpur ,Punjab ,,,,,,
TENT ACCOSSORIES,ADIL TEXTILES PVT LTD,2.545,Tiruppur ,Tamil Nadu ,11.091499,77.259041,,,info@atplasia.com,9500587777
TEA,ADITYA TRADING CO.,5.5041,Mumbai ,Maharashtra ,,,,,tea@aratitea.com,9820186081
FOUNDRY CONSUMABLES/EQUIPMENTS,ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,1.3617,"Gandhipuram , Coimbatore ",Tamil Nadu ,11.020168,76.970165,,,foundrysupplies@yahoo.com,9363217671
TURMERIC,AERATH BUSINESS CORPORATION,8.18625,"Ramapuram, Kottayam ",Kerala ,9.784858,76.682162,,,viswasfoods@gmail.com,4822263797
CASHEW KERNELS,AFRAS CASHEW  TRADERS,6.9,"Mangad, Kollam ",Kerala ,8.920091,76.616613,,,afrascashewtraders@gmail.com,0474-271 2508
COIR PITH,AGRO BROTHERS COIR CO.,3.49734,Pollachi ,Tamil Nadu ,10.645223,77.060171,,,brosindia@brosindia.com,4782862344
COIR PITH,AGRO COIR EXPORTS,13.5365,Pollachi ,Tamil Nadu ,10.525022,77.027736,,,info@agrocoirexports.com,9787457978
PLYWOOD,AHILA WOOD PRODUCTS&PLYWOOD INDUSTRIES,2.05078,Trivandrum ,Kerala ,8.766023,76.957261,,,,
FROZEN YELLOW TUNA,AI MARINE PRODUCTS INDIA P.LTD.,6.60124,"Cherthala, Alappuzha ",Kerala ,9.743762,76.356994,,,aimarinefoods@gmail.com,
EGGS,AISHWARYA FEEDS,3.1965,Namakkal ,Tamil Nadu ,11.213727,78.167681,,,aishwaryaeggs@gmail.com,9047035227
RICE,AISHWARYA OVERSEAS EXPORTERS,3.12326,"Karamana, Trivandrum ",Kerala ,8.480398,76.964914,,,info@aishwaryaoverseas.com,9995333353
