Exporter,Product,QTY.(KGS)
1CAS 4 ENTERPRISES,DISPOSABLE RAZORS,367
24X7  COOLING SOLUTIONS,MACHINERIES,859
2M COMPONENTS LLP,ELEVATOR PARTS,151371
4R FLEXIBLES LLP,PACKING MATERIALS,78623
7TH MAN TEXTILES P.LTD.,COTTON GARMENTS,6594
A 1 EQUIPMENTS AND POWER SUPPLY,SPARES,538
A AND S APPRELS,COTTON GOODS,8914
A TO Z CONSULTANCY,DESIGNED GYPSUM CEILING,19625
A TO Z PACKAGINGS,PACKING MATERIALS,229
A TO Z TRADERS,ELECTRICAL ITEMS,2950
A-1 CHIPS AND EXPORTS(I)P.LTD.,POTATO CHIPS,42057
A-1 ENTERPRISES,COTTON GOODS,97225
A-TEX FASHIONS P.LTD.,COTTON GARMENTS,2103
A. TOSH & SONS (I) LTD.,TEA,365822
A.1 ENTERPRISES,COTTON GARMENTS,15393
A.BLUES CLOTHING,COTTON GOODS,10904
A.C.N. TEXTILES P. LTD.,COTTON GOODS,22343
A.F.CASHEW,CASHEW KERNELS,95875
A.F.D.EXPORTS,FOOD STUFFS,19249
A.G.R.APPARELS,COTTON GOODS,10273
A.I. ENTERPRISES,COTTON GOODS,48335
A.J.INTERNATIONAL,SOAP,100
A.K. AHAMED MODERAN RICE MILL,RICE,452294
A.K.EXPORTS,COTTON GOODS,35615
A.K.IMPEX,FOOD STUFFS,74045
A.K.KNITS,COTTON GOODS,7460
A.K.R. TEXTILES,COTTON GARMENTS,2841
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,98294
A.K.S.EXIM INDIA,GALANGAL ROOTS,15583
A.K.TRADE LINKS,COIR MATS,29998
A.M.FISHERIES,FROZEN YELLOW TUNA,3724210
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,80775
A.N.EXPORTS,SPARES,2500
A.N.G. OVERSEAS,RICE,24000
A.N.P.APPARELS,COTTON GOODS,124261
A.P.D.EXPORTS,COTTON GOODS,26368
A.P.ENGINEERS,MACHINERIES,18940
A.R. EXPORTERS & IMPORTERS,COCONUTS,27750
A.R.AGENCIES,PAPER CUP,8034
A.R.MACHINERIES,MACHINERIES,4616
A.S.ABOOBACKER EXPORTS,COCONUTS,28000
A.S.M.KNITS,COTTON GARMENTS,337
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,2242670
A.S.P. & SON ENTERPRISES P.LTD.,COCONUT OIL,12748
A.S.TRADERS,BANANA,20790
A.TOSH ISHIMITSU BEVERAGESINDIA P.LTD.,TEA,11020
A.V.EXPORTS,COIR FIBER,128330
A.V.FASHION,COTTON GARMENTS,3664
A.V.FOODS,FOOD STUFFS,3367
A.V.THOMAS & CO. LTD.,TEA,311468
A2A SUPPLIERS,FOOD STUFFS,26000
AADHAVA APPARELS,COTTON GOODS,4516
AADHYA INGREDIENTS,TURMERIC POWDER,43000
AADISH EXIM,PLYWOOD,459790
AADRICS AGRO,RICE,24000
AAHANA INTERNATIOAL LLP,COTTON GARMENTS,4725
AALIYA EXPORTS,SPICES,5102
AANCHAL ENTERPRISES,PLYWOOD,1145116
AARA TEX,COTTON GOODS,12947
AARABHI EXPORTS,RICE,237832
AARCA,COTTON GARMENTS,1243
AARESS EXPORTS,COTTON GOODS,31466
AARNI IMPEX,COTTON GARMENTS,10309
AARON AGENCIES,SAND BLAST POT,16358
AARSHAVEDA WELLNESS PVT LTD,AYURVEDIC PRODUCTS,3182
AARTHIA IMPEX,COTTON GOODS,300
AARTHIYAN AGRO,COCONUTS,28500
AAS EXPORTS,COCONUTS,28500
AASEERVAA  FABRICS,COTTON GOODS,58217
AASHA BIOCHEM,FISH OIL,252
AASTI MEDITECH P.LTD.,MEDICAL EQUIPMENTS,349
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,48814
AAURAM FASHIONS,COTTON GOODS,3306
AAYDEE EXPORTS P.LTD.,COTTON YARN,344186
AAYDEE TEXTILES,COTTON YARN,101774
AAYUSHI EXPORTS,SPARES,5000
AB MAURI INDIA P.LTD.,TURMERIC POWDER,5210358
ABA APPARELS,COTTON GOODS,22120
ABAD EXIM P. LTD.,FROZEN SQUID,934023
ABAD FISHERIES,FROZEN SQUID,4882866
ABAMKA TECHNICAL,PUMPS,16525
ABBCO FOODS,FOOD STUFFS,15000
ABC GRAND P.LTD.,SPICES,85000
ABC INTERNATIONAL,COTTON GARMENTS,5958
ABDULLA IBRAHIM MOHD AL MARZOOQI,USED & OLD CLOTHING,120
ABHI MARINE,RICE,180100
ABHIDAKSHA GLOBALE,COTTON GOODS,7602
ABHIDEV EXPORTS,COTTON GOODS,592
ABHILASH INDUSTRIES,BRASS ARTICLES,23
ABI EGG TRADERS,COCONUTS,162284
ABI SOURCING,COTTON GOODS,15694
ABILAKSH INDUSTRIES,MACHINERIES,3860
ABISHEK EXPORTS,FOOD STUFFS,29100
ABLE ENGINERRING COMPANY,FABRICATED STEEL HARDWARE,80192
ABLE EXPORTS,FOOD STUFFS,26560
ABLUES CLOTHING,COTTON GOODS,11312
ABM MARINE PRODUCTS,FROZEN SQUID,2617996
ABM4 TRADES,SURGICAL GLOVES,24685
ABN TRADERS,TURMERIC,1413268
ABRAZ SLEEPING SOLUTION,PACKING MATERIALS,2795
ABZ DENTALS,DENTAL EQUIPMENT,203
ABZ FROZEN FOOD,FOOD STUFFS,179200
ACCELERATED FREEZE DRYING CO LTD.,SPICES,1604885
ACCUMENS ENGINEERING,SPARES,86
ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,154880
ACE PACK MACHINES,PACKING MACHINERIES,21265
ACKURA MACHINE,SPARES,4701
ACM NATURAL PRODUCTS,OLEORESINS OF SPICES,10177
ACNAL INDUSTRIES,PUMPS,46822
ACOUSTICAL SURFACES P.LTD.,SOUND PROOFING SYSTEMS,20846
ACQUA PEARL PROPERTIES AND EXPORTS ,FROZEN SQUID,914575
ACS FOODS P.LTD.,PEANUTS,16485
ACTIVAA KNIT APPARELS,COTTON GOODS,16532
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,4538145
ACTIVE DESIGN,COTTON GOODS,10801
ACUCHI EXIM P.LTD.,ROSEWOOD PRODUCTS,110648
ADAM TRADING COMPANY,RICE,312110
ADARA EXPORTS P. LTD.,COCONUTS,57120
ADARSH INDUSTRIAL CHEMICALS,CHEMICALS,4191
ADARSH KNITWEAR P.LTD.,COTTON GOODS,29655
ADARSH TEXTILES,COTTON GOODS,6002
ADD PRINT(INDIA)ENTERPRISES P.LTD.,MACHINERIES,1689
ADDRESS APPAREL,COTTON GOODS,33442
ADEPT HUNTERS,PLASTIC PRODUCTS,8112
ADHARSHANA KNITWEAR,COTTON GOODS,8074
ADIDEV GROUP OF INDUSTRIES,TURMERIC POWDER,32062
ADIF MAT EXPORTS,RUBBER MATS,16350
ADIL EXPORTERS,COTTON GOODS,5281
ADIL TEXTILES PVT LTD,TENT ACCOSSORIES,254500
ADINATH AGRO PROCCESSED FOODS P.LTD.,PICKLES,5820
ADITH APPARELS,COTTON GARMENTS,2064
ADITI APPAREL GROUP  ,COTTON GARMENTS,690
ADITI CREATION,PICKLES,26221
ADITI EXPORTS,RUSK,34662
ADITYA BIRLA FASHION  LTD.,COTTON GOODS,10074
ADITYA EXPORTS,FOOD STUFFS,14000
ADITYA TRADING CO.,TEA,550410
ADLER HANDELSHAUS P.LTD.,SURGICAL GLOVES,14945
ADS APPARELS,COTTON GOODS,39202
ADSO NATURALS,HERBAL MINERAL PRODUCTS,2446
ADTECH SYSTEMS LTD.,MACHINERIES,169
ADVA MEDICAL INDIA P. LTD.,SURGICAL GOODS,18936
