Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874,8325832.733136689,869094.3118500076,8709027.079317024,14692193.50980962,8706249.1822059
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0,1341083.0037324447,14206151.922723738,9365239.5057401,9025260.33825851,9367385.212040264
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887,8244666.409557769,5499810.88740668,584.390508598648,0.0,129.3658754741773
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194,46182915.45389691,95854.8390476238,6570177.035214037,316.3004184747115,6570410.021230432
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185,300.5642223926261,515.5694984355941,0.0,980.2321091918276,0.0
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217,3496661.465884217,0.0,41.69382652826607,19846077.75278917,828.8279569782317
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987,6187724.702554032,6363455.604361401,0.0,15029221.177961368,0.0
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341,3504698.528721894,19703471.9396548,9227769.797284909,4918593.555062875,9228513.684926985
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064,1624.9762424463406,7716040.623391209,4683178.553390417,0.0,4684740.648823731
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967,5623.947727621533,180.3602633140981,2752522.1988632707,56362.650960635394,2753764.082505757
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751,924.8483653105797,3777277.567211928,3291825.4117784207,7874729.831421368,3290956.258834125
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0,2163.3138467026874,9745155.295877157,392345.0465749297,2169.28315638192,393010.7160363691
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435,18684531.878090136,0.0,197563.73781537544,12427641.85113568,196046.19996978808
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351,5018444.22538881,17416403.077911474,518.3916401872411,8372551.37940493,397.85292799957097
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748,13056393.943441557,20740365.47073297,13667975.935622446,15806092.370874835,13668138.661390465
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526,2310.1459606951103,522716.4178001173,12081851.711563122,169917.55547468364,12082124.58545552
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155,11604416.269148195,4453775.508632833,1952468.062285304,4962015.237833651,1952012.0980504025
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885,9377520.427319389,2210648.2396141924,3649763.5214695777,77.61941269040108,3651150.5567179522
