Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874,11283272.94,6013168.61,8709027.079,1110169,8706249.182
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0,11283272.94,6013168.61,9365239.506,6028048,9367385.212
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887,11283272.94,6013168.61,584.3905086,23521654,129.3658755
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194,11283272.94,6013168.61,6570177.035,3546723,6570410.021
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185,11283272.94,6013168.61,0,2264371,0
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217,11283272.94,6013168.61,41.69382653,8506858,828.827957
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987,11283272.94,6013168.61,0,4204379,0
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341,11283272.94,6013168.61,9227769.797,5.17E-09,9228513.685
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064,11283272.94,6013168.61,4683178.553,13200000,4684740.649
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967,11283272.94,6013168.61,2752522.199,1656315,2753764.083
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751,11283272.94,6013168.61,3291825.412,3470365,3290956.259
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0,11283272.94,6013168.61,392345.0466,7857296,393010.716
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435,11283272.94,6013168.61,197563.7378,6495406,196046.2
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351,11283272.94,6013168.61,518.3916402,6.27E-09,397.852928
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748,11283272.94,6013168.61,13667975.94,2676585,13668138.66
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526,11283272.94,6013168.61,12081851.71,1349776,12082124.59
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155,11283272.94,6013168.61,1952468.062,18389666,1952012.098
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885,11283272.94,6013168.61,3649763.521,2901462,3651150.557
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0,11283272.94,6013168.61,4775695.758,7468257,4777743.31
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272,11283272.94,6013168.61,30134993.97,19182277,30135461.94
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437,11283272.94,6013168.61,5912855.621,2.59E-09,5912062.24
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934,11283272.94,6013168.61,6447894.466,6.64E-09,6450734.495
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394,11283272.94,6013168.61,11152618.51,5038821,11155370.05
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548,11283272.94,6013168.61,3163360.089,9510484,3165645.238
25-Jan,4667591,6264908,2306041,0,6100000,23998032,0,10650631,0,11283272.94,6013168.61,10650926.91,2306041,10652435.95
26-Jan,5376747,6565602,10280431,7695663,1524801,16411300,43440630,1444888,0,11283272.94,6013168.61,1444562.276,10280431,1443762.359
27-Jan,7781848,4378475,8312937,47707472,7052950,8643528,0,1002140,6344321,11283272.94,6013168.61,1002788.333,8312937,1004692.417
28-Jan,223055,7447470,0,7667552,13781684,11705253,20784989,0,8341393,11283272.94,6013168.61,0,0,0
29-Jan,3572309,0,110575,12255967,5843050,4917312,10323541,11311118,1470556,11283272.94,6013168.61,11310830.67,110575,11310398.02
30-Jan,4970042,6941403,0,9035891,9350600,2500,0,2475587,544656,11283272.94,6013168.61,2474984.857,1.57E-09,2474778.562
31-Jan,8525581,0,11024715,0,6314572,11467290,15445260,5328854,5309958,11283272.94,6013168.61,5329423.634,11024715,5328913.627
01-Feb,7150572,574202,6807539,0,2145574,0,5995560,8389685,0,11283272.94,6013168.61,8389105.02,6807539,8389422.259
02-Feb,0,13152221,4076356,4609705,147668,0,16037776,0,0,11283272.94,6013168.61,349.5151376,4076356,0
03-Feb,7399001,4087610,1590026,221058,0,24857635,0,0,2081747,11283272.94,6013168.61,403.7992848,1590026,0
04-Feb,2039703,8185501,0,8327349,22159471,0,6521899,0,8084425,11283272.94,6013168.61,379.3445058,6.68E-09,836.8192689
05-Feb,1428131,2027852,14960480,17835988,9709455,17413857,0,2520092,4097507,11283272.94,6013168.61,2520041.751,14960480,2519363.682
06-Feb,13450972,0,630319,18492648,14728715,64183,25757680,0,0,11283272.94,6013168.61,390.3630339,630319,0
07-Feb,3921859,0,6129682,1600209,0,2800,53850,6562519,8875414,11283272.94,6013168.61,6561370.897,6129682,6560792.523
08-Feb,45286395,8856781,2245169,0,1347316,0,10914709,52812774,2649405,11283272.94,18776098.05,52812455.3,2245169,52811858.98
09-Feb,0,14459479,8959318,79364,74801,0,0,3315298,1301508,11283272.94,6013168.61,3314593.667,8959318,3313432.306
10-Feb,7142179,47471103,6063530,65575,0,8318778,6265128,10941871,6735359,11283272.94,6013168.61,10941601.82,6063530,10942660.54
11-Feb,3651519,5952882,0,5218480,5531270,9475846,9393848,4727761,2052169,11283272.94,6013168.61,4728135.1,0,4725003.429
12-Feb,0,9024901,7431576,13363127,35323238,11585397,79923,5560334,46122474,11283272.94,6013168.61,5560467.159,7431576,5561060.656
13-Feb,16842890,0,41653,9050660,6733396,359346,8562608,0,4038958,11283272.94,6013168.61,0,41653,0
14-Feb,7887608,0,6837864,4600000,5543350,0,0,5837954,3627270,11283272.94,6013168.61,5836810.131,6837864,5838222.619
15-Feb,17840329,6258292,3808335,7150000,7850200,0,12222436,6730346,3444055,11283272.94,6013168.61,6732923.584,3808335,6732084.214
16-Feb,0,5781865,7282450,168970,10558785,81013,16465000,12281361,0,11283272.94,6013168.61,12281686.05,7282450,12279458.07
17-Feb,4866029,0,4836131,4546385,0,49348221,8543446,4651007,3140029,11283272.94,6013168.61,4650451.641,4836131,4651282.04
18-Feb,20642546,7393509,0,7440339,3499910,9076401,7161890,11100420,7693102,11283272.94,6013168.61,11100211.56,0,11100989.12
19-Feb,873764,8222778,0,11140441,21932490,15367148,0,0,1780229,11283272.94,6013168.61,423.3254904,8.56E-09,1324.587562
20-Feb,34778824,0,0,6700936,5696446,0,332975,5860599,2498874,11283272.94,6013168.61,5859854.484,1.54E-09,5860479.841
21-Feb,2737342,0,7942342,0,0,5501000,445807,15675988,15682780,11283272.94,6013168.61,15675542.8,7942342,15676732.56
22-Feb,15992963,0,3897443,0,41451208,154914,6997696,4375396,4289568,11283272.94,6013168.61,4374845.4,3897443,4375284.825
23-Feb,0,15248855,7582718,40712,7549950,0,8320491,11753246,13540360,11283272.94,6013168.61,11752966.16,7582718,11753007.34
24-Feb,7592251,2776979,5294004,12587202,0,940878,23166660,8347820,0,11283272.94,6013168.61,8348332.084,5294004,8349650.497
25-Feb,2940443,7407849,3117536,1039742,6339908,25620201,293199,11076757,9024750,11283272.94,6013168.61,11077279.94,3117536,11078095.91
26-Feb,297000,7615486,0,3803479,11828580,0,0,5966153,8645446,11283272.94,6013168.61,5966062.08,4.70E-09,5964344.676
27-Feb,8646710,0,56828,10647972,7435426,0,4611096,5264289,6636936,11283272.94,6013168.61,5266037.623,56828,5262849.355
28-Feb,2492767,14000,3030900,7930662,5348498,12689294,7469730,0,6502486,11283272.94,6013168.61,0,3030900,466.6552637
01-Mar,10282049,5257480,2955041,0,1529988,0,6796000,6582468,8704759,11283272.94,6013168.61,6583993.037,2955041,6586133.775
02-Mar,25395000,1957603,2394100,0,0,2300706,4797730,0,0,11283272.94,6013168.61,495.8602437,2394100,0
03-Mar,5742029,4333609,5794189,1175273,0,15262834,17372654,3427473,4099346,11283272.94,6013168.61,3426872.117,5794189,3427927.132
04-Mar,3611676,0,77630,7350000,7769401,14310459,24732302,0,4633149,11283272.94,6013168.61,289.1805919,77630,1592.412904
05-Mar,1321795,11858551,0,15057608,17849114,523866,0,40000000,7496866,11283272.94,6013168.61,39999704.17,3.71E-09,39998937.56
06-Mar,0,0,6955185,20456348,0,0,3358634,5662464,7849673,11283272.94,6013168.61,5662720.071,6955185,5663346.119
07-Mar,3415058,2873536,0,530420,0,5250223,9415841,4973216,4620295,11283272.94,6013168.61,4971220.998,0,4971993.6
08-Mar,11499962,17034032,4516087,5000120,1615278,6089145,0,11353240,1571100,11283272.94,6013168.61,11352575.8,4516087,11353488.68
09-Mar,0,8575718,2524055,126137,0,2063294,5775998,782060,5178187,11283272.94,6013168.61,780823.3849,2524055,780111.0922
10-Mar,7632717,4835743,40927486,2940812,7885955,11238708,12909330,2213039,4994679,11283272.94,6013168.61,2212685.447,40927486,2212279.814
11-Mar,0,6557763,9217913,1875130,12030138,3108832,13310000,9682049,8413010,11283272.94,6013168.61,9683326.582,9217913,9683783.603
12-Mar,1641499,0,0,3166310,15768302,7220103,5688998,6949262,0,11283272.94,6013168.61,6948899.377,3.19E-09,6950062.688
13-Mar,5298666,8054474,3190389,18350955,10253635,0,10072100,40164430,2953171,11283272.94,6013168.61,40164276.76,3190389,40164142.41
14-Mar,0,12714458,2152380,0,7342945,0,7260491,3734000,4244050,11283272.94,6013168.61,3733792.072,2152380,3733196.875
15-Mar,3431071,2026206,2170675,11948180,0,162962,3229763,0,23100457,11283272.94,6013168.61,818.9082241,2170675,981.103376
16-Mar,0,2151988,4140558,1083864,216540,25249987,6937640,10526000,4363,11283272.94,6013168.61,10526600.88,4140558,10527638.49
17-Mar,7236120,4548828,4462759,0,0,18065610,189913,7657199,11893872,11283272.94,6013168.61,7658022.613,4462759,7657687.478
18-Mar,0,9480250,5219371,17452000,21839980,3088670,4026633,0,4227691,11283272.94,6013168.61,962.1950718,5219371,0
19-Mar,962042,34763,7875000,8217789,9503405,0,0,7552217,1827295,11283272.94,6013168.61,7552879.899,7875000,7551923.466
20-Mar,5963874,28797,23016,13907692,6406867,13791196,7296562,143585,2965151,11283272.94,6013168.61,144806.7035,23016,144656.0181
21-Mar,2200615,42692,6701726,1011336,0,0,42254,0,14207657,11283272.94,6013168.61,303.0838782,6701726,410.2834326
22-Mar,5183863,12778308,9077472,8610475,7003930,1282147,10579858,11471813,0,11283272.94,6013168.61,11472470.24,9077472,11473956.24
23-Mar,1775323,3467479,21005685,23288873,3087956,2342987,20815222,374844,8360520,11283272.94,6013168.61,375779.5324,21005685,374992.8041
24-Mar,5782927,1519628,6102755,8762610,4869420,7875000,320574,4905000,10949304,11283272.94,6013168.61,4906408.433,6102755,4908391.234
25-Mar,0,4663239,0,3731712,0,30843834,10127980,0,12954844,11283272.94,6013168.61,553.6167015,0,646.8064026
26-Mar,2241319,0,6759812,11555269,13474414,10770418,7223521,14107000,0,11283272.94,6013168.61,14106065.72,6759812,14105994.52
27-Mar,5503275,0,0,8966609,14739111,0,0,15585873,5190870,11283272.94,6013168.61,15586065.61,4.07E-09,15586939.39
28-Mar,4221623,2060943,17005141,1384933,13796417,0,722434,0,4165654,11283272.94,6013168.61,808.4290381,17005141,0
29-Mar,25600406,12674759,6311381,0,0,0,2915211,6596774,5500000,11283272.94,6013168.61,6595465.263,6311381,6595860.115
30-Mar,0,3293968,5349280,1887874,2194098,5648819,3509329,9799440,10500000,11283272.94,6013168.61,9799044.49,5349280,9798148.687
31-Mar,7857701,7338563,8852040,2903459,240669,8312918,0,2443644,6465311,11283272.94,6013168.61,2441584.885,8852040,2441157.688
01-Apr,0,8730867,0,6939189,11752133,168135,7962049,0,7478205,11283272.94,6013168.61,0,9.80E-10,735.9488191
02-Apr,10262781,117126,118295,10534258,16908286,7810350,9500000,14411680,5451420,11283272.94,6013168.61,14412675.32,118295,14412428.68
03-Apr,10471229,0,10288653,16879954,5277327,0,0,2338547,776940,11283272.94,6013168.61,2337535.886,10288653,2336267.492
04-Apr,4119118,0,6895760,8977110,313400,16827453,3924061,12772865,6189680,11283272.94,6013168.61,12773083.41,6895760,12775038.65
05-Apr,0,17922268,3450144,0,2365073,0,2673064,5965643,5115632,11283272.94,6013168.61,5964638.002,3450144,5964797.791
06-Apr,7123956,30877129,1481847,2226892,0,9667984,8282991,0,0,11283272.94,6013168.61,634.6775467,1481847,1656.646823
07-Apr,4569761,13357413,4384319,247336,78712,6443582,25125348,348118,13343185,11283272.94,6013168.61,348602.5603,4384319,349411.8986
08-Apr,0,7558075,0,2174827,6197676,15197123,90954,24611997,10019857,11283272.94,6013168.61,24610930.53,2.26E-09,24609751.85
09-Apr,2684223,4310771,3839870,3981984,13631216,0,7092592,9856182,3848620,11283272.94,6013168.61,9857354.106,3839870,9856661.251
10-Apr,9837553,0,3222667,21130363,12362749,5797413,0,12070252,22986936,11283272.94,6013168.61,12070018.83,3222667,12069527.88
11-Apr,3772721,0,12905610,0,0,0,0,0,5425095,11283272.94,6013168.61,0,12905610,631.6012171
12-Apr,40665,14796660,244591,446520,1534845,0,14856557,9527536,0,11283272.94,6013168.61,9527755.556,244591,9528410.259
13-Apr,0,3893012,5899287,1128240,0,0,9374434,6030460,0,11283272.94,6013168.61,6030535.261,5899287,6028831.403
14-Apr,11800818,6601210,1562839,1144754,14454598,19177718,11537130,2808995,9016423,11283272.94,6013168.61,2810502.539,1562839,2812181.401
15-Apr,3833314,2143780,10340,12376860,13111348,8514827,1364828,0,6947340,11283272.94,6013168.61,404.0759543,10340,83.90889885
16-Apr,4080285,7059950,7509354,11100834,10873680,8526188,4428302,3792692,10734891,11283272.94,6013168.61,3795090.188,7509354,3792782.985
17-Apr,3964133,0,8024630,8400451,2768885,0,0,0,7387005,11283272.94,6013168.61,204.2848715,8024630,531.7599707
18-Apr,3999263,6969255,7054838,1176575,6250810,270090,37991,915027,10404324,11283272.94,6013168.61,912990.1003,7054838,909037.7052
19-Apr,0,3857661,2102867,452266,17568872,0,9056320,15475606,0,11283272.94,6013168.61,15474940.81,2102867,15476335.72
20-Apr,0,6022618,7133422,1561,10867845,9975267,9610839,7590746,15278720,11283272.94,6013168.61,7590245.046,7133422,7591467.206
21-Apr,6198955,3970976,6734510,0,202952,2954908,13365861,6477836,5163834,11283272.94,6013168.61,6478606.168,6734510,6477708.617
22-Apr,6893904,2682217,541240,16892031,6995830,4753108,9988358,0,4541272,11283272.94,6013168.61,141.8672589,541240,86.22639602
23-Apr,18570416,5654586,0,3140927,14555521,0,98720,0,0,11283272.94,6013168.61,0,5.90E-09,473.284218
24-Apr,11501394,0,585400,8422211,7776422,0,867157,924858,16404708,11283272.94,6013168.61,923701.9163,585400,922796.8279
25-Apr,1860,25000000,9100113,0,6043279,0,0,7423934,12599960,11283272.94,6013168.61,7425184.264,9100113,7424874.567
26-Apr,10751870,18619421,0,0,16055969,24412342,2009226,8862782,0,11283272.94,6013168.61,8862197.399,7.52E-09,8862940.274
27-Apr,141987,3990259,6110488,19285698,0,2278409,8521784,0,8955000,11283272.94,6013168.61,0,6110488,0
28-Apr,8914017,2401330,11702575,6189235,0,138899,9872572,1789156,902878,11283272.94,6013168.61,1787808.03,11702575,1789540.156
29-Apr,1157,9428769,1001349,7416,12791069,8586458,0,4666734,5896617,11283272.94,6013168.61,4666650.549,1001349,4665372.809
30-Apr,3289106,2919108,3068096,14811099,9630003,0,104654,3770382,23014418,11283272.94,6013168.61,3770664.339,3068096,3769134.019
01-May,13118119,0,7726570,13212177,7845577,0,18641320,407584,2410560,11283272.94,6013168.61,407770.741,7726570,408565.2621
02-May,44467134,3104284,6949290,0,435142,758457,888606,21684966,19066865,11283272.94,6013168.61,21684651.22,6949290,21684280.97
03-May,2634391,13286178,10458068,0,3000,0,2183933,19737332,7441024,11283272.94,6013168.61,19737756.02,10458068,19737407.17
04-May,9240000,6031815,29148655,2639036,1930543,0,43925,4052961,1329411,11283272.94,6013168.61,4054486.681,29148655,4054880.673
05-May,10308242,6212960,8028760,3800000,1494738,8690332,0,1295851,13750727,11283272.94,6013168.61,1296250.564,8028760,1296054.48
06-May,0,8167868,0,0,23756367,8385239,22512619,18054581,5809595,11283272.94,6013168.61,18054594.81,1.51E-09,18055143.44
07-May,10239777,8496000,0,11873046,54800,0,0,808633,0,11283272.94,6013168.61,809607.7593,0,809083.7205
08-May,9075373,44000000,0,13089081,20274156,0,18722271,0,2162453,11283272.94,6013168.61,0,5.31E-10,630.3144093
09-May,4143796,996195,9542348,3017754,10228957,1803932,9175992,1608000,5272063,11283272.94,6013168.61,1607610.933,9542348,1607840.417
10-May,0,18639602,15000000,0,0,25369,26965400,6437660,3869043,11283272.94,6013168.61,6437890.738,15000000,6438459.641
11-May,8852000,7887640,4120873,4265127,1283674,2362953,145800,0,0,11283272.94,6013168.61,1081.631655,4120873,2847.109215
12-May,8686239,3310694,7909923,4927010,104400,7323704,7631446,6544982,5904168,11283272.94,6013168.61,6544862.632,7909923,6541256.179
13-May,5473215,34331314,121076,274512,13126345,0,0,0,4132088,11283272.94,6013168.61,1087.371444,121076,294.7730949
14-May,5168248,5690868,0,10597716,9012213,0,170261,7992657,9717608,11283272.94,6013168.61,7991724.478,2.20E-09,7989850.015
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923,11283272.94,6013168.61,4353954.258,24487599,4354486.132
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071,11283272.94,6013168.61,9964773.658,0,9964327.666
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740,11283272.94,6013168.61,1420675.348,191968,1420884.962
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168,11283272.94,6013168.61,0,7725644,2068.801312
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718,11283272.94,6013168.61,1568.747083,9080367,2966.946763
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246,11283272.94,6013168.61,6912357.078,9.02E-10,6912340.938
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021,11283272.94,6013168.61,4226654.841,3.74E-10,4226323.272
