Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874,15015511.182921834,15007972.180549951,8674330.673822641,730566.3475842293,8272320.806953924
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0,9070545.517982695,9141664.19940929,9049425.51702248,107543.63435312852,1253995.3437571859
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887,12758.97586886381,5556.876267490284,431870.7796175511,5256012.833783804,8413533.917056905
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194,323593.75705059216,372372.2500823668,6485902.084154881,4136007.907365706,36927004.878817655
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185,0.0,0.0,887401.1895404474,2429306.897674389,0.0
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217,19676328.73893056,19940190.42751102,0.0,13708832.18459618,3456424.0275624325
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987,15114896.580215402,15118044.686021656,0.0,10871452.343189647,6302887.609224874
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341,4992900.930317954,5039413.531123172,8436225.001409186,10966171.161662072,3669784.255965639
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064,0.0,0.0,4302562.161614157,9286881.743114054,0.0
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967,27246.736651193547,21932.06860143638,2690770.626699442,5246591.659747962,115990.4952371314
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751,7887499.106319515,7920617.826439613,3158918.413933995,3614672.4666320686,7264.5906226311345
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0,0.0,0.0,324147.57889651874,0.0,330340.34297777043
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435,12645383.904212542,12600852.565760314,374290.1816135168,3645922.5210890095,25285818.640233733
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351,8351271.19015042,8323724.857245635,1225.3947831321068,10037634.009505255,4966706.363928055
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748,14700489.403200053,14527522.330357129,13518972.761830442,10370827.09258244,12368094.510791106
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526,375189.0263035434,360361.08418124623,12524277.79251762,2897945.834716665,0.0
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155,4956857.798050884,4962677.662307656,1868103.7132239272,3385207.555437854,11968073.72242013
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885,16940.427954229166,13780.904369241554,3727125.9357559327,397155.9989217162,9599971.767964434
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0,320521.6402994734,320358.8828677831,4695047.729279709,75931.39907565081,26765.658954601124
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272,17028539.20478271,16922154.232026853,28456425.31665964,2924835.3137540706,3404810.151098231
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437,14721425.781897416,14780893.644470165,5918910.833275563,9510384.35369903,13910132.696424603
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934,433492.5882300841,393711.1508052076,6452018.944138414,10109793.255272737,1093364.332632559
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394,7045405.006120742,6986093.282233517,11126819.815860717,2152027.7746781786,7289145.118097376
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548,4769632.753637184,4729324.536627392,3130740.452549458,3013673.094502381,0.0
25-Jan,4667591,6264908,2306041,0,6100000,23998032,0,10650631,0,28288419.877131563,29787351.549850617,10585192.65553247,0.0,25442.03909310045
26-Jan,5376747,6565602,10280431,7695663,1524801,16411300,43440630,1444888,0,16205677.52370384,15949176.592185562,1404990.9815441105,17841.04897735983,36539968.94708859
27-Jan,7781848,4378475,8312937,47707472,7052950,8643528,0,1002140,6344321,8563841.542532142,8570480.35082202,1002417.9257992088,6183454.108030529,46175.782291892254
28-Jan,223055,7447470,0,7667552,13781684,11705253,20784989,0,8341393,11647751.829701176,11579054.453133836,0.0,8387128.859852677,26814258.497724164
