Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874,868434.0000000021,22131000.0,867873.9999999991,1110168.9999999967,867873.9999999806
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0,14205016.0,16008.000000001595,0.0,6028048.000000003,2.733577275648713e-08
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887,5498126.999999994,3.479710926419756e-09,5022887.000000007,23521653.999999996,5022887.000000025
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194,96279.9999999807,5910213.999999995,4104194.000000004,3546722.99999998,4104193.999999958
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185,1.2508947261028175e-09,14564231.999999996,2472184.999999996,2264371.0,2472184.9999999725
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217,0.0,3026755.000000001,13248217.000000004,8506858.000000002,13248216.999999963
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987,6363789.999999995,3198239.999999999,11257986.999999996,4204379.000000002,11257986.99999997
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341,19703152.000000004,5.092082237773568e-09,10437340.999999996,5.167748895473778e-09,10437341.000000034
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064,7716540.999999991,101756.00000000368,9539064.0,13200000.000000006,9539064.0
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967,0.0,9349651.0,5298967.000000002,1656314.9999999974,5298966.999999987
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751,3776742.000000023,4817345.000000009,3172751.00000002,3470364.99999999,3172751.000000078
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0,9745684.999999996,0.0,0.0,7857296.000000002,1.4231773093342781e-08
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435,0.0,4673742.999999995,3993435.000000003,6495405.9999999935,3993434.9999999627
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351,17415650.000000004,7935243.999999998,9881350.999999996,6.268237484619021e-09,9881351.000000019
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748,20739889.000000007,22660000.0,10325747.999999996,2676585.000000004,10325748.000000048
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526,522358.99999999657,7334201.000000001,2899525.9999999995,1349775.9999999977,2899525.9999999832
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155,4455345.999999991,5.778783778300583e-10,3635155.000000003,18389666.0,3635154.9999999944
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885,2211964.999999999,22583927.0,412884.9999999972,2901461.9999999967,412884.9999999894
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0,97952.99999999788,8643290.0,0.0,7468256.999999999,0.0
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272,2.989566160571974e-09,8620382.000000007,2893272.000000001,19182276.999999996,2893271.9999999907
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437,14540234.999999996,7954999.999999998,9309436.999999996,2.5902409106492996e-09,9309436.999999996
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934,17803053.000000004,8720557.0,10514933.999999996,6.642949301749468e-09,10514934.000000034
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394,9308595.0,4917897.000000003,2147394.0000000047,5038820.999999996,2147394.0000000303
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548,13544000.000000004,9.74526905919291e-10,3112547.9999999925,9510484.000000006,3112548.0000000037
25-Jan,4667591,6264908,2306041,0,6100000,23998032,0,10650631,0,6100000.000000003,4667590.999999998,0.0,2306041.0000000023,0.0
26-Jan,5376747,6565602,10280431,7695663,1524801,16411300,43440630,1444888,0,1524800.9999999895,5376746.999999994,9.60062607191503e-09,10280430.99999998,0.0
27-Jan,7781848,4378475,8312937,47707472,7052950,8643528,0,1002140,6344321,7052950.00000001,7781848.000000004,6344321.000000019,8312936.999999995,6344321.000000079
28-Jan,223055,7447470,0,7667552,13781684,11705253,20784989,0,8341393,13781683.999999993,223054.9999999981,8341392.999999999,0.0,8341392.999999997
29-Jan,3572309,0,110575,12255967,5843050,4917312,10323541,11311118,1470556,5843049.999999997,3572309.000000001,1470556.000000002,110574.99999999462,1470555.9999999998
30-Jan,4970042,6941403,0,9035891,9350600,2500,0,2475587,544656,9350600.0,4970041.999999998,544655.9999999972,1.5734258340671659e-09,544656.0000000076
31-Jan,8525581,0,11024715,0,6314572,11467290,15445260,5328854,5309958,6314571.9999999935,8525580.999999996,5309958.000000001,11024714.999999996,5309957.9999999935
01-Feb,7150572,574202,6807539,0,2145574,0,5995560,8389685,0,2145573.999999993,7150571.999999998,0.0,6807538.999999996,0.0
