Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874,771376.5,14764140.03,8731600.61,783223.33,872107.2
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0,14326872.81,9011578.19,9330845.33,14352167.46,0.0
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887,5499701.11,0.0,0.0,5510123.66,4988379.34
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194,98889.17,253.69,6571326.94,100005.43,4107487.7
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185,0.0,0.0,0.0,0.0,2454806.47
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217,0.0,19622878.18,0.0,0.0,13250655.39
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987,6370382.66,15044703.92,0.0,6371298.77,11236586.94
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341,19909293.3,4878621.53,9281985.29,19782903.65,10440296.44
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064,7755353.31,0.0,4672176.73,7749814.21,9505254.68
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967,0.0,60259.93,2740152.5,0.0,5308475.53
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751,3804237.16,7868880.4,3282300.36,3796359.52,3159785.16
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0,9706797.3,0.0,391092.81,9732057.11,0.0
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435,0.0,12393221.07,225885.22,0.0,4000134.39
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351,17506684.04,8371464.25,0.0,17513633.27,9871072.49
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748,20554750.15,15819930.19,13933560.41,20488147.29,10381928.78
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526,547359.38,167135.92,12096631.99,543256.84,2907667.57
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155,4472185.16,4955489.6,1894130.67,4501683.27,3630191.86
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885,2179552.43,0.0,3663164.02,2195075.07,426217.16
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0,99815.32,398644.88,4759715.5,99751.86,0.0
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272,0.0,16305285.55,28126614.41,0.0,2899809.31
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437,14527643.39,15977601.09,5928349.67,14521872.05,9315360.96
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934,17825947.74,464920.99,6444704.59,17825562.64,10501629.57
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394,9308985.8,7304800.13,11163451.39,9305652.19,2121155.03
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548,13519584.8,4781522.49,3163284.88,13529150.25,3132293.58
