Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023
01-Jan,22131000,3804829,1110169,893507,868434,14693029,8325160,8709432,867874
02-Jan,16008,523685,6028048,9301854,14205016,9025315,1342462,9365061,0
03-Jan,0,9020000,23521654,10418843,5498127,0,8245538,0,5022887
04-Jan,5910214,0,3546723,293811,96280,0,46183493,6570413,4104194
05-Jan,14564232,15876237,2264371,0,0,0,0,0,2472185
06-Jan,3026755,3745391,8506858,1376769,0,19847155,3496259,0,13248217
07-Jan,3198240,6943235,4204379,0,6363790,15026460,6188981,0,11257987
08-Jan,0,7787539,0,16708809,19703152,4915796,3504250,9227244,10437341
09-Jan,101756,0,13200000,739640,7716541,0,0,4682718,9539064
10-Jan,9349651,6009000,1656315,10321555,0,57018,6433,2753941,5298967
11-Jan,4817345,25612673,3470365,62047960,3776742,7875360,0,3291983,3172751
12-Jan,0,3685063,7857296,6345710,9745685,0,0,391568,0
13-Jan,4673743,8826001,6495406,340601,0,12427708,18686976,197246,3993435
14-Jan,7935244,4647919,0,6506655,17415650,8373366,5018574,0,9881351
15-Jan,22660000,4442152,2676585,11827121,20739889,15806715,13057090,13668233,10325748
16-Jan,7334201,0,1349776,6754364,522359,166994,0,12080972,2899526
17-Jan,0,5117121,18389666,0,4455346,4959926,11605022,1952519,3635155
18-Jan,22583927,6721251,2901462,3431,2211965,0,9378910,3650728,412885
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548
25-Jan,4667591,6264908,2306041,0,6100000,23998032,0,10650631,0
26-Jan,5376747,6565602,10280431,7695663,1524801,16411300,43440630,1444888,0
27-Jan,7781848,4378475,8312937,47707472,7052950,8643528,0,1002140,6344321
28-Jan,223055,7447470,0,7667552,13781684,11705253,20784989,0,8341393
29-Jan,3572309,0,110575,12255967,5843050,4917312,10323541,11311118,1470556
30-Jan,4970042,6941403,0,9035891,9350600,2500,0,2475587,544656
31-Jan,8525581,0,11024715,0,6314572,11467290,15445260,5328854,5309958
01-Feb,7150572,574202,6807539,0,2145574,0,5995560,8389685,0
02-Feb,0,13152221,4076356,4609705,147668,0,16037776,0,0
03-Feb,7399001,4087610,1590026,221058,0,24857635,0,0,2081747
04-Feb,2039703,8185501,0,8327349,22159471,0,6521899,0,8084425
05-Feb,1428131,2027852,14960480,17835988,9709455,17413857,0,2520092,4097507
06-Feb,13450972,0,630319,18492648,14728715,64183,25757680,0,0
07-Feb,3921859,0,6129682,1600209,0,2800,53850,6562519,8875414
08-Feb,45286395,8856781,2245169,0,1347316,0,10914709,52812774,2649405
09-Feb,0,14459479,8959318,79364,74801,0,0,3315298,1301508
10-Feb,7142179,47471103,6063530,65575,0,8318778,6265128,10941871,6735359
11-Feb,3651519,5952882,0,5218480,5531270,9475846,9393848,4727761,2052169
12-Feb,0,9024901,7431576,13363127,35323238,11585397,79923,5560334,46122474
13-Feb,16842890,0,41653,9050660,6733396,359346,8562608,0,4038958
14-Feb,7887608,0,6837864,4600000,5543350,0,0,5837954,3627270
15-Feb,17840329,6258292,3808335,7150000,7850200,0,12222436,6730346,3444055
16-Feb,0,5781865,7282450,168970,10558785,81013,16465000,12281361,0
17-Feb,4866029,0,4836131,4546385,0,49348221,8543446,4651007,3140029
18-Feb,20642546,7393509,0,7440339,3499910,9076401,7161890,11100420,7693102
19-Feb,873764,8222778,0,11140441,21932490,15367148,0,0,1780229
20-Feb,34778824,0,0,6700936,5696446,0,332975,5860599,2498874
21-Feb,2737342,0,7942342,0,0,5501000,445807,15675988,15682780
22-Feb,15992963,0,3897443,0,41451208,154914,6997696,4375396,4289568
23-Feb,0,15248855,7582718,40712,7549950,0,8320491,11753246,13540360
24-Feb,7592251,2776979,5294004,12587202,0,940878,23166660,8347820,0
25-Feb,2940443,7407849,3117536,1039742,6339908,25620201,293199,11076757,9024750
26-Feb,297000,7615486,0,3803479,11828580,0,0,5966153,8645446
27-Feb,8646710,0,56828,10647972,7435426,0,4611096,5264289,6636936
28-Feb,2492767,14000,3030900,7930662,5348498,12689294,7469730,0,6502486
01-Mar,10282049,5257480,2955041,0,1529988,0,6796000,6582468,8704759
02-Mar,25395000,1957603,2394100,0,0,2300706,4797730,0,0
03-Mar,5742029,4333609,5794189,1175273,0,15262834,17372654,3427473,4099346
04-Mar,3611676,0,77630,7350000,7769401,14310459,24732302,0,4633149
05-Mar,1321795,11858551,0,15057608,17849114,523866,0,40000000,7496866
06-Mar,0,0,6955185,20456348,0,0,3358634,5662464,7849673
07-Mar,3415058,2873536,0,530420,0,5250223,9415841,4973216,4620295
08-Mar,11499962,17034032,4516087,5000120,1615278,6089145,0,11353240,1571100
09-Mar,0,8575718,2524055,126137,0,2063294,5775998,782060,5178187
10-Mar,7632717,4835743,40927486,2940812,7885955,11238708,12909330,2213039,4994679
11-Mar,0,6557763,9217913,1875130,12030138,3108832,13310000,9682049,8413010
12-Mar,1641499,0,0,3166310,15768302,7220103,5688998,6949262,0
13-Mar,5298666,8054474,3190389,18350955,10253635,0,10072100,40164430,2953171
14-Mar,0,12714458,2152380,0,7342945,0,7260491,3734000,4244050
15-Mar,3431071,2026206,2170675,11948180,0,162962,3229763,0,23100457
16-Mar,0,2151988,4140558,1083864,216540,25249987,6937640,10526000,4363
17-Mar,7236120,4548828,4462759,0,0,18065610,189913,7657199,11893872
18-Mar,0,9480250,5219371,17452000,21839980,3088670,4026633,0,4227691
19-Mar,962042,34763,7875000,8217789,9503405,0,0,7552217,1827295
20-Mar,5963874,28797,23016,13907692,6406867,13791196,7296562,143585,2965151
21-Mar,2200615,42692,6701726,1011336,0,0,42254,0,14207657
22-Mar,5183863,12778308,9077472,8610475,7003930,1282147,10579858,11471813,0
23-Mar,1775323,3467479,21005685,23288873,3087956,2342987,20815222,374844,8360520
24-Mar,5782927,1519628,6102755,8762610,4869420,7875000,320574,4905000,10949304
25-Mar,0,4663239,0,3731712,0,30843834,10127980,0,12954844
26-Mar,2241319,0,6759812,11555269,13474414,10770418,7223521,14107000,0
27-Mar,5503275,0,0,8966609,14739111,0,0,15585873,5190870
28-Mar,4221623,2060943,17005141,1384933,13796417,0,722434,0,4165654
29-Mar,25600406,12674759,6311381,0,0,0,2915211,6596774,5500000
30-Mar,0,3293968,5349280,1887874,2194098,5648819,3509329,9799440,10500000
31-Mar,7857701,7338563,8852040,2903459,240669,8312918,0,2443644,6465311
01-Apr,0,8730867,0,6939189,11752133,168135,7962049,0,7478205
02-Apr,10262781,117126,118295,10534258,16908286,7810350,9500000,14411680,5451420
03-Apr,10471229,0,10288653,16879954,5277327,0,0,2338547,776940
04-Apr,4119118,0,6895760,8977110,313400,16827453,3924061,12772865,6189680
05-Apr,0,17922268,3450144,0,2365073,0,2673064,5965643,5115632
06-Apr,7123956,30877129,1481847,2226892,0,9667984,8282991,0,0
07-Apr,4569761,13357413,4384319,247336,78712,6443582,25125348,348118,13343185
08-Apr,0,7558075,0,2174827,6197676,15197123,90954,24611997,10019857
09-Apr,2684223,4310771,3839870,3981984,13631216,0,7092592,9856182,3848620
10-Apr,9837553,0,3222667,21130363,12362749,5797413,0,12070252,22986936
11-Apr,3772721,0,12905610,0,0,0,0,0,5425095
12-Apr,40665,14796660,244591,446520,1534845,0,14856557,9527536,0
13-Apr,0,3893012,5899287,1128240,0,0,9374434,6030460,0
14-Apr,11800818,6601210,1562839,1144754,14454598,19177718,11537130,2808995,9016423
15-Apr,3833314,2143780,10340,12376860,13111348,8514827,1364828,0,6947340
16-Apr,4080285,7059950,7509354,11100834,10873680,8526188,4428302,3792692,10734891
17-Apr,3964133,0,8024630,8400451,2768885,0,0,0,7387005
18-Apr,3999263,6969255,7054838,1176575,6250810,270090,37991,915027,10404324
19-Apr,0,3857661,2102867,452266,17568872,0,9056320,15475606,0
20-Apr,0,6022618,7133422,1561,10867845,9975267,9610839,7590746,15278720
21-Apr,6198955,3970976,6734510,0,202952,2954908,13365861,6477836,5163834
22-Apr,6893904,2682217,541240,16892031,6995830,4753108,9988358,0,4541272
23-Apr,18570416,5654586,0,3140927,14555521,0,98720,0,0
24-Apr,11501394,0,585400,8422211,7776422,0,867157,924858,16404708
25-Apr,1860,25000000,9100113,0,6043279,0,0,7423934,12599960
26-Apr,10751870,18619421,0,0,16055969,24412342,2009226,8862782,0
27-Apr,141987,3990259,6110488,19285698,0,2278409,8521784,0,8955000
28-Apr,8914017,2401330,11702575,6189235,0,138899,9872572,1789156,902878
29-Apr,1157,9428769,1001349,7416,12791069,8586458,0,4666734,5896617
30-Apr,3289106,2919108,3068096,14811099,9630003,0,104654,3770382,23014418
01-May,13118119,0,7726570,13212177,7845577,0,18641320,407584,2410560
02-May,44467134,3104284,6949290,0,435142,758457,888606,21684966,19066865
03-May,2634391,13286178,10458068,0,3000,0,2183933,19737332,7441024
04-May,9240000,6031815,29148655,2639036,1930543,0,43925,4052961,1329411
05-May,10308242,6212960,8028760,3800000,1494738,8690332,0,1295851,13750727
06-May,0,8167868,0,0,23756367,8385239,22512619,18054581,5809595
07-May,10239777,8496000,0,11873046,54800,0,0,808633,0
08-May,9075373,44000000,0,13089081,20274156,0,18722271,0,2162453
09-May,4143796,996195,9542348,3017754,10228957,1803932,9175992,1608000,5272063
10-May,0,18639602,15000000,0,0,25369,26965400,6437660,3869043
11-May,8852000,7887640,4120873,4265127,1283674,2362953,145800,0,0
12-May,8686239,3310694,7909923,4927010,104400,7323704,7631446,6544982,5904168
13-May,5473215,34331314,121076,274512,13126345,0,0,0,4132088
14-May,5168248,5690868,0,10597716,9012213,0,170261,7992657,9717608
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021
22-May,9642828,6361492,3105731,8331188,12089845,3154191,8998730,9311066,3599403
23-May,0,0,11168358,0,271430,10500160,0,6578720,15084154
24-May,0,10421961,1614018,43650000,7208427,0,10396496,38502,6269808
25-May,4294628,11389176,11948175,0,0,6305244,6580190,45605697,5500000
26-May,14940363,4612617,8687210,1115964,0,33748327,129128,4259317,27590536
27-May,9577664,6782197,2407591,445570,13728214,4753740,0,10912212,0
28-May,8819290,9151825,30500512,1108214,9043688,490471,18001733,6293037,1308446
29-May,8728816,0,0,12966417,7941210,11992880,6481268,5298106,4473577
30-May,7783716,2688470,7964971,16432829,0,0,9298616,10717883,22413910
31-May,2898061,28399379,0,0,2835081,19015580,0,5575095,2930696
01-Jun,198000,16078479,0,118046,0,95224,450568,0,0
02-Jun,11096584,10641236,10747090,2981456,0,6823240,5333183,0,4188255
03-Jun,7309807,6672226,2603569,23020280,16436425,0,7035424,0,6687679
04-Jun,2110445,192784,802424,19916162,9298682,0,15740800,9308993,6007061
05-Jun,18020443,0,23314545,0,12475071,4074687,5528500,12402007,13391453
06-Jun,0,6152643,6918554,4216706,10713186,111600,47168373,1457137,0
07-Jun,0,25690555,9464676,9379587,4297477,0,9971550,0,1402243
08-Jun,553118,2429170,1574903,300061,157640,3426293,13659587,17628078,4137234
09-Jun,14245835,4982262,13434213,52325570,0,19388177,6255835,0,0
10-Jun,13426069,192784,0,0,22968645,826650,1005081,10806497,7236289
11-Jun,7406260,9763568,323296,2909269,0,6478288,6928590,2657799,13121432
12-Jun,5602509,3595721,6639675,8533102,15131602,0,4123226,9102690,9253810
13-Jun,35669453,0,7294299,912257,0,3723557,0,7179420,7399379
14-Jun,39835816,18943614,477582,0,12494691,12000000,3030995,7092354,134553
15-Jun,0,3323966,3489711,0,30094980,7986203,7980367,6267605,4172609
16-Jun,8529178,0,1572724,737893,16055700,0,142315,221292,6749370
17-Jun,2977007,4322187,8985419,0,5602230,283510,8718225,1792082,0
18-Jun,1882639,11557305,8278180,1385965,13865039,882800,0,7346215,48813363
19-Jun,14841647,15366,1227450,15358334,16607017,0,11767056,0,890493
20-Jun,697049,19526204,2252749,14273456,3031498,6283050,11494277,2520531,9818706
21-Jun,0,10099444,7591851,7876000,1589217,14903190,4042780,3881650,3947611
22-Jun,0,6980196,8775432,0,0,7741857,9410220,794247,11945650
23-Jun,8733473,327950,1803836,283987,55938,12651682,1190005,8039674,0
24-Jun,1515569,0,10068339,1160899,4720263,0,15385434,14720164,28582104
25-Jun,23838954,8350291,0,14365505,15000559,21722740,2019125,8189799,1349910
26-Jun,13696987,7323201,11616613,16396190,7108581,6295290,5420431,2369523,6657683
27-Jun,12981174,4724137,1295224,0,0,12229674,0,0,9881215
28-Jun,5306348,6411233,3007367,3046047,12155807,0,0,354900,1680074
29-Jun,0,0,6373411,0,0,10218865,5809199,0,0
30-Jun,10940971,8560593,10957023,4526775,3579028,8214750,5193269,6234611,8412986
01-Jul,4116911,11452551,236911,0,0,6921794,16664381,9780919,5803691
02-Jul,7280735,99594,5316480,6070490,7509145,10580540,5691543,3446428,10856972
03-Jul,464455,0,6778694,21750113,19454290,7982816,0,8656507,0
04-Jul,28272332,8613660,5755504,11605737,5946336,0,6646139,0,7115818
05-Jul,5225000,10191290,0,0,1178930,236102,1485420,4719179,0
06-Jul,0,0,2464195,213602,28800,8728000,8125918,3815433,5319177
07-Jul,9366868,1246697,42417242,0,22640,3401617,5127179,4040280,7283532
08-Jul,9279203,8923320,0,3525538,6442187,19614703,0,0,4809108
09-Jul,5630684,538600,5714500,21871830,14516942,6413505,11342555,21803227,7347730
10-Jul,10388950,44396456,8038071,18899997,8349413,8189980,12384010,4142947,2942276
11-Jul,3838504,0,8079387,5508744,558709,42942257,1563436,10993100,3561567
12-Jul,25200000,15902328,0,47498200,1369706,41000,0,8935409,5085491
13-Jul,1302546,2227927,10124626,0,0,10567343,5679212,6926234,12599800
14-Jul,1508000,10404600,0,1657799,0,10177241,4618139,10460000,0
15-Jul,18717462,11083221,9789221,598519,16291110,7776972,2917720,6137302,14199346
16-Jul,4419092,3391312,4566865,22433866,18008191,7826244,0,0,6464120
17-Jul,0,1724936,11995832,22152896,10787608,0,290436,8307274,0
18-Jul,1944243,8310286,11900526,0,9057951,0,11971524,10591304,46750
19-Jul,9291661,27061681,1330372,0,2204847,1179974,3795052,12020722,15492936
20-Jul,11574351,1484615,47567806,2899517,0,0,9207118,1136581,129589
21-Jul,9058756,4142264,4442000,15000000,0,8904006,5166855,2625720,7295383
22-Jul,216275,11874228,10454651,161671,5354159,12019123,16063000,25484573,9475381
23-Jul,6855691,10992908,3288838,5212949,7501940,15009560,16078543,3087563,18673864
24-Jul,7275985,0,10766119,12171014,17995409,0,101116,805868,0
25-Jul,0,4487456,9451009,28226649,14899411,9000,4860677,5023573,17530795
26-Jul,0,7951784,0,0,0,23005400,0,646836,5467339
27-Jul,1332827,5219410,10007625,23280,2915972,0,7614072,5499770,483013
28-Jul,11929280,5529792,18557225,102930,4081640,16138219,13637281,0,12792440
29-Jul,5374720,3876442,277538,2679167,242744,7608742,8054351,7653291,4042786
30-Jul,21812366,0,3268276,4429270,9263669,2130148,0,5350362,0
31-Jul,3146000,0,11198639,56819045,24339132,12079053,108790,199088,6419261
01-Aug,9061698,5157190,0,14984684,5787427,0,4777428,3871220,5315470
02-Aug,0,13020235,9468739,262167,0,4917460,17490,5437619,6291544
03-Aug,0,4919249,4963269,0,12304399,0,9265145,695390,7344040
04-Aug,8862693,4174369,9692730,1540830,0,8762928,0,0,6731550
05-Aug,17041577,20068685,0,2324929,21558430,0,341461,7611249,8756537
06-Aug,5176616,30172,2522223,13699468,9559819,4727058,7880958,10853651,2423961
07-Aug,8234400,0,11161214,14485663,13742590,21415009,0,7540838,1437103
08-Aug,0,4242121,0,7105350,0,12012685,3857432,20160730,3163628
09-Aug,142794,13175575,8897377,13322104,0,9005210,0,6708169,7875000
10-Aug,37294000,37074899,14822592,0,2074081,17009250,6902010,0,415552
11-Aug,14108921,6137668,8456249,1240362,37759,13938543,2425581,4998893,0
12-Aug,10666850,10338098,2668708,1852822,9533606,3000,2122819,51287638,4510585
13-Aug,2319204,10537575,5002161,9594678,0,8554198,0,6112810,14618690
14-Aug,3720260,26765817,3093461,22302821,12595636,1410200,5706351,5001620,8326886
15-Aug,2358835,2905899,3564308,5750565,0,8368382,5465567,50688,3708581
16-Aug,8212172,10259136,3024760,0,17358945,9762844,1445566,4398451,9665184
17-Aug,36271046,3140776,7195844,554101,5510270,8980460,0,5771511,1385247
18-Aug,9828643,4248622,10600700,0,1070,0,10445197,4512209,6338640
19-Aug,7344928,8169538,717185,9819569,8484854,0,7324238,7288788,0
20-Aug,2460284,9867448,32801978,17557100,50950,9531066,0,0,11410265
21-Aug,3694765,0,9301648,21541719,4086291,8827783,9159437,0,815513
22-Aug,1432260,3415142,8974146,6957576,13412346,13524077,6099892,23884,8093688
23-Aug,1585076,12739317,0,0,9551423,156181,0,7516665,14923916
24-Aug,10464536,2377908,8042964,1500478,0,12704853,14860706,5204816,1580209
25-Aug,6681059,3659061,1633483,20642,106270,0,2979621,0,15173355
26-Aug,13667363,7139421,41146433,0,0,6115661,341300,0,6676952
27-Aug,3627673,20089850,4698962,0,42157000,43491527,0,10903642,1037755
