Month_Day,2018,2019,2020,2021,2022,2023,2024
01-01,337485,686993,1284272,1244317,1285112,1311021.5070252798,1311021.5070252798
01-02,1030556,1920106,985410,1499299,805926,937998.4668453314,937998.4668453314
01-03,1030556,1598395,985410,1115398,1198180,1155027.320427335,1155027.320427335
01-04,697207,1621244,110652,213313,2054215,1871371.5094541088,1871371.5094541092
01-05,1464201,148152,985410,1020265,1198180,1109584.7667962322,1109584.7667962322
01-06,1841074,384235,60000,18988,1198180,904101.7261525774,904101.7261525774
01-07,1830587,995967,1308975,557750,1198180,1024538.476065313,1024538.476065313
01-08,1159316,665465,985410,1599498,262227,469254.6304530191,469254.6304530191
01-09,630753,301686,1073901,1941132,782974,920501.3817206696,920501.3817206695
01-10,1557073,1906228,985410,1001102,2744039,2088678.135772188,2088678.1357721882
01-11,1030556,1969674,1564611,1001102,1662263,1358273.3438884611,1358273.3438884611
01-12,263069,389311,711530,135143,1467857,1369575.6057978787,1369575.6057978787
01-13,1030556,995967,1772869,470994,1198180,1221494.5720499165,1221494.5720499163
01-14,508842,330847,645836,107926,1198180,1225697.6897301143,1225697.6897301145
01-15,2354455,1319344,83479,564197,447559,597443.8977124726,597443.8977124726
01-16,1030556,661691,985410,824859,1483570,1379757.843010717,1379757.843010717
01-17,1354446,86607,780435,359376,262993,805087.5859266889,805087.5859266889
01-18,629733,628160,985410,1282300,157045,696506.8264498686,696506.8264498686
01-19,1577791,1494600,603142,1001102,1128200,1390875.761245143,1390875.7612451427
01-20,142694,995967,439939,963493,1198180,1138794.4673623408,1138794.4673623408
01-21,1030556,1474941,1952793,158840,2101004,1871229.8746610149,1871229.8746610149
01-22,2527535,1467823,192738,185522,1001912,957090.839051097,957090.839051097
01-23,1030556,142513,1061872,1548146,1129780,1092915.829680549,1092915.829680549
01-24,1030556,27319,227081,413233,143641,523689.7133132918,523689.7133132918
01-25,1030556,1222646,985410,319128,1145817,1066202.7459548884,1066202.7459548884
01-26,1104338,1206472,985410,1001102,1159382,1276277.3750168956,1276277.3750168956
01-27,954906,995967,784544,492286,185400,532799.2131792608,532799.2131792608
01-28,1015526,825453,2632286,396486,1198180,1220133.1272142294,1220133.1272142294
01-29,942716,1847598,945094,1962881,153826,436539.64585763146,436539.64585763146
01-30,784595,150401,87876,493016,1643480,1321985.707059211,1321985.707059211
01-31,1030556,995967,906574,1001102,1198180,1082597.393415136,1082597.393415136
02-01,789490,1906464,985410,991597,1425002,1316408.541037355,1316408.541037355
02-02,1425029,52270,159551,54260,1741415,1530136.5015577287,1530136.5015577287
02-03,1496304,995967,507431,1001102,1198180,1424264.1043696948,1424264.1043696948
02-04,1411179,1249785,985410,1001102,1198180,1392706.2407584605,1392706.2407584605
02-05,1030556,995967,985410,158589,438234,888792.2031075236,888792.2031075236
02-06,329730,995967,2572838,2331196,1198180,1243941.678447766,1243941.678447766
02-07,688557,1476566,934975,977010,1843370,1523628.9515745982,1523628.9515745982
02-08,1030556,995967,985410,1101291,116126,797847.4733090686,797847.4733090686
02-09,1030556,312548,1268497,1001102,2471658,1765083.8924970282,1765083.8924970282
02-10,1088732,822724,1362825,1018816,478275,597426.2564974196,597426.2564974196
02-11,601293,132419,314981,1429343,1362634,1136529.2931515917,1136529.2931515917
02-12,460360,692093,985410,900457,726187,1078784.8916765084,1078784.8916765084
02-13,2398350,2191269,198297,211762,155059,548803.1706775242,548803.1706775242
02-14,1030556,303587,1049381,1001102,1198180,1295739.6080944445,1295739.6080944443
02-15,1030556,995967,985410,2408771,1652443,1047704.1565886989,1047704.1565886987
02-16,1093939,2517677,1070399,1001102,1949754,1546046.875603989,1546046.875603989
02-17,740732,995967,1500949,522482,1013301,916703.2247283967,916703.2247283967
02-18,523076,382618,985410,1252606,1198180,1092588.7791038156,1092588.7791038156
02-19,1489902,3008623,1716966,1001102,1198180,1505471.235146041,1505471.235146041
02-20,1030556,950731,985410,27739,837028,713586.762580237,713586.762580237
02-21,1030556,995967,796524,2229961,243382,610613.0078817212,610613.0078817212
02-22,101205,1678316,108480,1001102,2049523,1747916.73879592,1747916.73879592
02-23,1099768,995967,985410,1484415,858533,1100703.9614310253,1100703.9614310253
02-24,2467016,995967,470643,1001102,1128715,1362248.7069240687,1362248.7069240687
02-25,168321,239982,3137760,2253089,3460002,2594466.114099293,2594466.114099293
02-26,462624,1528091,985410,49365,150400,354250.93717946333,354250.93717946333
02-27,1030556,2832122,80500,63440,1931645,1665232.0005601186,1665232.0005601186
02-28,2634970,174908,1287027,1530044,1198180,1162885.1266201136,1162885.1266201136
02-29,1030556,995967,327600,1001102,1198180,1176190.941914825,1176190.941914825
03-01,1568864,30000,908411,1710320,416566,497639.9920092808,497639.99200928083
03-02,325350,184674,1692063,2318550,1198180,1353806.6498392946,1353806.6498392946
03-03,1030556,995967,1861632,1716547,2518352,1950558.0971581384,1950558.0971581382
03-04,851189,244133,985410,1001102,1198180,1262764.3845245058,1262764.3845245058
03-05,1030556,1455546,985410,516744,1198180,1062672.10809341,1062672.10809341
03-06,1030556,436210,985410,1001102,1307534,1213146.717622274,1213146.717622274
03-07,2081765,2330899,116658,717982,1675220,1545349.2658416769,1545349.2658416769
03-08,1030556,717189,985410,951038,2272944,1525370.452622646,1525370.452622646
03-09,1305558,1255571,985410,864154,392653,863493.5798509795,863493.5798509795
03-10,163942,995967,1643753,293124,2669379,2079821.179063348,2079821.1790633479
03-11,115145,469899,985410,587201,1771864,1494559.3523609,1494559.3523609
03-12,510561,3456441,985410,494437,65685,563946.0004898566,563946.0004898566
03-13,2196313,350224,1229715,40683,135781,536893.2366517035,536893.2366517035
03-14,1030556,67000,985410,751293,1198180,974681.4350737092,974681.4350737093
03-15,1030556,1200668,1193342,1564704,1198180,1437008.795309147,1437008.795309147
03-16,1602161,995967,830256,1001102,1198180,974197.5216481172,974197.5216481172
03-17,1030556,76550,2627578,25192,4020098,2775371.617616536,2775371.617616536
03-18,1030556,1727729,155807,259051,1198180,1480212.1733043648,1480212.1733043648
03-19,1687425,2451760,32520,1001102,3059973,2449760.55403589,2449760.55403589
03-20,1655416,1080785,985410,1690959,179050,301240.0178884904,301240.0178884904
03-21,528260,995967,2705552,1001102,696148,885871.4782583544,885871.4782583544
03-22,162628,1498038,985410,2188064,1198180,1398614.5693914487,1398614.5693914487
03-23,1619254,1031149,794277,1001102,814368,789955.8487406729,789955.8487406729
03-24,1005079,104250,985410,1971625,1198180,868656.7984682734,868656.7984682734
03-25,598436,515081,1526106,1729813,1198180,1097432.7396820302,1097432.7396820302
03-26,158036,2629049,1260144,682275,1198180,1327501.4860888773,1327501.4860888773
03-27,2837339,39925,723123,199288,3101867,2418396.7901451658,2418396.7901451658
03-28,253320,2326837,985410,269973,1734929,1271652.2286194265,1271652.2286194263
03-29,1030556,1520655,985410,1275836,1124245,1336990.7347860865,1336990.7347860865
03-30,2553776,674306,12479,944108,1198180,1077789.5805799626,1077789.5805799626
03-31,236370,995967,109450,1001102,1045272,944510.3184959972,944510.3184959971
04-01,1030556,1092037,985410,1622925,1198180,1117837.025670491,1117837.025670491
04-02,711520,1838186,13758,516783,1372254,1307838.9932488056,1307838.9932488056
04-03,349977,1833010,1449469,3010,1482300,1057706.4417974623,1057706.4417974623
04-04,1030556,995967,505890,2721668,1198180,1348844.1498640664,1348844.1498640664
04-05,1281033,31072,2967374,549966,160327,769680.4616650494,769680.4616650494
04-06,1330727,2197125,985410,1001102,2018614,1596639.2686518088,1596639.2686518088
04-07,189976,497448,1800417,1683542,1198180,1365807.0819991543,1365807.0819991545
04-08,276556,995967,104170,1001102,1192210,1053752.3458000978,1053752.3458000978
04-09,86779,185406,207914,328894,1949806,1745943.6796189346,1745943.6796189346
04-10,45650,1594842,985410,917857,570090,987475.085512278,987475.0855122781
04-11,1491767,788430,991468,1391931,1198180,1231206.1635574324,1231206.1635574324
04-12,2331420,143531,985410,205531,615044,1030085.3715291456,1030085.3715291457
04-13,1339065,995967,1278310,814508,1198180,1261527.7436601913,1261527.7436601913
04-14,1030556,995967,384607,1001102,1519452,1214628.1315572928,1214628.1315572928
04-15,231700,254730,985410,687977,1198180,1329772.366720823,1329772.3667208233
04-16,1426416,2638605,1258045,257374,2634165,2436379.2872021818,2436379.2872021818
04-17,827492,100604,985410,19160,283743,708154.7716935191,708154.7716935191
04-18,204610,995967,1351086,577931,163541,610444.7016017451,610444.7016017451
04-19,37276,1167496,985410,1001102,3491295,2079983.787287204,2079983.7872872038
04-20,1849481,616066,1006134,1139429,1401885,1201927.193197364,1201927.193197364
04-21,1030556,66000,328831,2110869,1050181,1153266.3151557022,1153266.3151557022
04-22,683531,405199,44367,550225,1198180,1147265.2950405437,1147265.2950405437
04-23,1677626,1434860,985410,681433,221970,300170.6060526681,300170.6060526681
04-24,879540,690751,985410,282935,1267286,1210307.0201318709,1210307.0201318709
