Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
01-01,337485,686993,1284272,1244317,1285112,1311021.5070252798,1311021.5070252798,1300403.6071201405,1290366.8078129932,1284491.1256409874
01-02,1030556,1920106,985410,1499299,805926,937998.4668453314,937998.4668453314,936064.556553333,927784.8933457336,924840.2699830142
01-03,1030556,1598395,985410,1115398,1198180,1155027.320427335,1155027.320427335,1156433.694120844,1140626.622169868,1132568.3569454534
01-04,697207,1621244,110652,213313,2054215,1871371.5094541088,1871371.5094541088,1857583.3521704103,1849508.1831750304,1837997.5523321382
01-05,1464201,148152,985410,1020265,1198180,1109584.7667962322,1109584.7667962322,1105843.9070243803,1108004.214200531,1097343.8439644736
01-06,1841074,384235,60000,18988,1198180,904101.7261525774,904101.7261525774,893473.1778823376,891766.1320513653,887467.2669969393
01-07,1830587,995967,1308975,557750,1198180,1024538.476065313,1024538.476065313,1020777.6749075396,1013410.3173116324,1007061.9825619307
01-08,1159316,665465,985410,1599498,262227,469254.6304530191,469254.6304530191,464315.4827223074,456303.9325703284,450430.00627648394
01-09,630753,301686,1073901,1941132,782974,920501.3817206696,920501.3817206696,914600.86851318,910149.7177625828,905044.4704001158
01-10,1557073,1906228,985410,1001102,2744039,2088678.135772188,2088678.135772188,2216265.517874765,2291003.8822633782,2310508.010974902
01-11,1030556,1969674,1564611,1001102,1662263,1358273.3438884611,1358273.3438884611,1345559.5024232627,1339356.750539441,1332561.7047375157
01-12,263069,389311,711530,135143,1467857,1369575.6057978787,1369575.6057978787,1364703.7614856644,1364433.8592551276,1360181.2398254306
01-13,1030556,995967,1772869,470994,1198180,1221494.5720499165,1221494.5720499165,1213891.5407118688,1204537.9140610856,1197178.299573873
01-14,508842,330847,645836,107926,1198180,1225697.6897301143,1225697.6897301143,1218481.7284429453,1208918.099290718,1206171.6210339868
01-15,2354455,1319344,83479,564197,447559,597443.8977124726,597443.8977124726,566769.3763708759,562145.3651844598,554652.3454934668
01-16,1030556,661691,985410,824859,1483570,1379757.843010717,1379757.843010717,1376860.2706999618,1369371.5543430792,1362270.626513716
01-17,1354446,86607,780435,359376,262993,805087.5859266889,805087.5859266889,804424.7073235359,803706.522875506,801706.1530968931
01-18,629733,628160,985410,1282300,157045,696506.8264498686,696506.8264498686,690893.2603992176,686638.1105592847,684100.1899758969
01-19,1577791,1494600,603142,1001102,1128200,1390875.761245143,1390875.761245143,1358897.0835041471,1360511.6966702573,1355689.7118146727
01-20,142694,995967,439939,963493,1198180,1138794.4673623408,1138794.4673623408,1137609.5827796208,1128816.5829902552,1123860.8718467476
01-21,1030556,1474941,1952793,158840,2101004,1871229.8746610149,1871229.8746610149,1874644.5113933943,1863422.3874081983,1856896.9669655152
01-22,2527535,1467823,192738,185522,1001912,957090.839051097,957090.839051097,959595.231713266,957763.6541607014,951367.912411982
