Month_Day,2018,2019,2020,2021,2022,2023
01-01,337485,686993,1284272,1244317,1285112,1425738.6340091808
01-02,1030556,1920106,985410,1499299,805926,935734.9176972242
01-03,1030556,1598395,985410,1115398,1198180,1191723.2870730658
01-04,697207,1621244,110652,213313,2054215,1459776.866458301
01-05,1464201,148152,985410,1020265,1198180,1248669.3317323935
01-06,1841074,384235,60000,18988,1198180,868716.4822070722
01-07,1830587,995967,1308975,557750,1198180,964244.34312676
01-08,1159316,665465,985410,1599498,262227,879396.1796524812
01-09,630753,301686,1073901,1941132,782974,905384.2600861829
01-10,1557073,1906228,985410,1001102,2744039,1825962.7086816034
01-11,1030556,1969674,1564611,1001102,1662263,1120274.3954777876
01-12,263069,389311,711530,135143,1467857,1406222.5512910904
01-13,1030556,995967,1772869,470994,1198180,1120725.5363825967
01-14,508842,330847,645836,107926,1198180,1220590.7237140231
01-15,2354455,1319344,83479,564197,447559,718071.3442481138
01-16,1030556,661691,985410,824859,1483570,1136250.295802066
01-17,1354446,86607,780435,359376,262993,659540.0091541157
01-18,629733,628160,985410,1282300,157045,944630.813693332
01-19,1577791,1494600,603142,1001102,1128200,1388258.1778385032
01-20,142694,995967,439939,963493,1198180,1196025.4537859843
01-21,1030556,1474941,1952793,158840,2101004,1841248.2631888287
01-22,2527535,1467823,192738,185522,1001912,957444.9449660712
01-23,1030556,142513,1061872,1548146,1129780,1164981.519396673
01-24,1030556,27319,227081,413233,143641,485053.4851008266
01-25,1030556,1222646,985410,319128,1145817,1073327.0948521877
01-26,1104338,1206472,985410,1001102,1159382,1172207.7205853336
01-27,954906,995967,784544,492286,185400,698864.0789209672
01-28,1015526,825453,2632286,396486,1198180,1179451.56809573
01-29,942716,1847598,945094,1962881,153826,851270.74670513
01-30,784595,150401,87876,493016,1643480,1240402.065235826
01-31,1030556,995967,906574,1001102,1198180,1218438.955892446
02-01,789490,1906464,985410,991597,1425002,1384936.0204222884
02-02,1425029,52270,159551,54260,1741415,1765399.7564065347
02-03,1496304,995967,507431,1001102,1198180,1441966.6310526177
02-04,1411179,1249785,985410,1001102,1198180,1148284.499990993
02-05,1030556,995967,985410,158589,438234,1112520.6261971279
02-06,329730,995967,2572838,2331196,1198180,1094012.8347311374
02-07,688557,1476566,934975,977010,1843370,1216325.3001231535
02-08,1030556,995967,985410,1101291,116126,1007404.3393484321
02-09,1030556,312548,1268497,1001102,2471658,1553444.8990267084
02-10,1088732,822724,1362825,1018816,478275,788147.4208129321
02-11,601293,132419,314981,1429343,1362634,1193529.6514822072
02-12,460360,692093,985410,900457,726187,1013807.9846412196
02-13,2398350,2191269,198297,211762,155059,623971.4624417312
02-14,1030556,303587,1049381,1001102,1198180,1228907.3857119281
02-15,1030556,995967,985410,2408771,1652443,1118756.7612556538
02-16,1093939,2517677,1070399,1001102,1949754,1826359.059322878
02-17,740732,995967,1500949,522482,1013301,1022349.7983294459
02-18,523076,382618,985410,1252606,1198180,1118779.5275164354
02-19,1489902,3008623,1716966,1001102,1198180,1314867.9384525684
02-20,1030556,950731,985410,27739,837028,641822.4139880125
02-21,1030556,995967,796524,2229961,243382,724278.5912521462
02-22,101205,1678316,108480,1001102,2049523,1490246.82264081
02-23,1099768,995967,985410,1484415,858533,1087872.8194085334
02-24,2467016,995967,470643,1001102,1128715,1182190.2596336359
02-25,168321,239982,3137760,2253089,3460002,3056381.2735509127
02-26,462624,1528091,985410,49365,150400,398617.8529978558
02-27,1030556,2832122,80500,63440,1931645,1784085.9309455445
02-28,2634970,174908,1287027,1530044,1198180,1332948.0062171503
02-29,1030556,995967,327600,1001102,1198180,1330206.1301807312
03-01,1568864,30000,908411,1710320,416566,617391.6071906795
03-02,325350,184674,1692063,2318550,1198180,1264484.3566328783
03-03,1030556,995967,1861632,1716547,2518352,1848789.1464343045
03-04,851189,244133,985410,1001102,1198180,1312109.7119231585
03-05,1030556,1455546,985410,516744,1198180,1115319.872584248
03-06,1030556,436210,985410,1001102,1307534,1210438.7020396744
03-07,2081765,2330899,116658,717982,1675220,1631690.7411044487
03-08,1030556,717189,985410,951038,2272944,1148515.6799126551
03-09,1305558,1255571,985410,864154,392653,1002008.1967392671
03-10,163942,995967,1643753,293124,2669379,1767035.5514550868
03-11,115145,469899,985410,587201,1771864,1390450.865648798
03-12,510561,3456441,985410,494437,65685,176326.27405893215
03-13,2196313,350224,1229715,40683,135781,552923.4289470554
03-14,1030556,67000,985410,751293,1198180,1188792.89010887
03-15,1030556,1200668,1193342,1564704,1198180,1537761.3713934533
03-16,1602161,995967,830256,1001102,1198180,944784.8437766967
03-17,1030556,76550,2627578,25192,4020098,3399263.9727101782
03-18,1030556,1727729,155807,259051,1198180,1391028.7569022314
03-19,1687425,2451760,32520,1001102,3059973,2495898.488415511
03-20,1655416,1080785,985410,1690959,179050,456050.6517558957
03-21,528260,995967,2705552,1001102,696148,1012893.2204624144
03-22,162628,1498038,985410,2188064,1198180,1255658.5999435135
03-23,1619254,1031149,794277,1001102,814368,683984.0537818177
03-24,1005079,104250,985410,1971625,1198180,1036051.9321860352
03-25,598436,515081,1526106,1729813,1198180,1160861.764984664
03-26,158036,2629049,1260144,682275,1198180,1565535.4840831377
03-27,2837339,39925,723123,199288,3101867,2955321.7037192406
03-28,253320,2326837,985410,269973,1734929,1330663.8409891166
03-29,1030556,1520655,985410,1275836,1124245,1178865.0428035224
03-30,2553776,674306,12479,944108,1198180,1175656.7550515851
03-31,236370,995967,109450,1001102,1045272,1134345.2477283478
04-01,1030556,1092037,985410,1622925,1198180,1201998.2053929823
04-02,711520,1838186,13758,516783,1372254,1232840.1914925103
04-03,349977,1833010,1449469,3010,1482300,1256574.0257548587
04-04,1030556,995967,505890,2721668,1198180,1273682.6053149644
04-05,1281033,31072,2967374,549966,160327,312155.8064891618
04-06,1330727,2197125,985410,1001102,2018614,1469709.8627738522
04-07,189976,497448,1800417,1683542,1198180,1207766.631618848
04-08,276556,995967,104170,1001102,1192210,1158418.4421409776
04-09,86779,185406,207914,328894,1949806,1556626.87081719
04-10,45650,1594842,985410,917857,570090,915427.9081860217
04-11,1491767,788430,991468,1391931,1198180,1221157.6762497704
04-12,2331420,143531,985410,205531,615044,938080.7952415945
04-13,1339065,995967,1278310,814508,1198180,1292151.0472771332
04-14,1030556,995967,384607,1001102,1519452,1341468.9759695246
04-15,231700,254730,985410,687977,1198180,1378870.867584856
04-16,1426416,2638605,1258045,257374,2634165,2357792.0015029158
04-17,827492,100604,985410,19160,283743,698813.6073502753
04-18,204610,995967,1351086,577931,163541,854106.8308654898
04-19,37276,1167496,985410,1001102,3491295,2954094.9689237187
04-20,1849481,616066,1006134,1139429,1401885,1055560.3438908977
04-21,1030556,66000,328831,2110869,1050181,1082579.4324218843
04-22,683531,405199,44367,550225,1198180,1066827.4138917108
04-23,1677626,1434860,985410,681433,221970,762817.3111374966
04-24,879540,690751,985410,282935,1267286,1086995.0443188164
04-25,18000,445393,985410,1001102,1198180,1247695.693480131
04-26,1030556,1034416,3791522,1303232,539478,670035.6020844039
04-27,425729,995967,807485,1219717,477336,774569.7130480612
04-28,353346,995967,985410,292517,843429,1035093.6164478139
04-29,1492435,1970252,2068891,1001102,1527271,1482133.2792069486
04-30,1794152,2101064,985410,1238210,1037837,1039276.7516621253
05-01,986364,995967,985410,1001102,66795,1135375.6566216315
05-02,1030556,1015588,2110999,1001102,2361155,1340153.5338834913
05-03,893405,1277713,1300098,1001102,2183113,1503424.156095338
05-04,1030556,2828337,985410,228621,1811580,1638762.5405183723
05-05,101725,391165,2064058,1001102,608008,1038725.7757980233
05-06,1165063,1031023,2700232,1250466,762558,1015136.5062413859
05-07,1030556,533203,102836,332753,1198180,1186949.1133342106
05-08,446726,1389275,1504014,15876,250165,499201.3909525415
05-09,1226065,2524884,236003,2124476,1198180,1272135.8474426293
05-10,556401,995967,139570,2700007,2708486,1862168.6647069582
05-11,1679491,1805895,991281,346950,1198180,988710.1254504311
05-12,344526,995967,1783359,1001102,501138,916547.7618091141
05-13,1030556,1205260,985410,1001102,1198180,1238651.7776955043
05-14,1635511,1689095,985410,1103407,100686,626244.542071098
05-15,1457846,72452,80000,1001102,2582503,2103523.612162714
05-16,1030556,15000,1536693,2389491,1710925,1399953.802813137
05-17,1030556,424325,985410,1001102,1198180,1210438.7020396744
05-18,618354,1035713,1618502,1001102,335345,754802.7815175409
05-19,1724855,995967,1700775,980163,1198180,1039102.7842052014
05-20,32977,1269085,985410,502782,1172228,1135418.3457609506
05-21,1152978,1797842,766116,797311,329540,491692.87695123564
05-22,1569985,324857,1932343,1001102,2225042,1942427.3454097689
05-23,224529,995967,985410,160463,641067,1120857.890512393
05-24,1030556,2000530,985410,1709501,328220,832808.9069846809
05-25,1030556,47878,1354063,410375,273731,683529.4043424343
05-26,2481189,995967,1144446,1001102,179127,696617.3249352397
05-27,2591526,1505501,985410,1001102,1730231,1502713.3918024797
05-28,1030556,1827491,318615,1636455,1198180,1307912.7810712724
05-29,1030556,860585,985410,2204343,1198180,986061.2324299235
05-30,1286324,995967,153876,1305059,5734111,3984934.852197754
05-31,421774,1792161,1343077,1001102,816859,939527.8280706553
06-01,703570,995967,908810,558130,1198180,1045341.3093283363
06-02,2787360,53877,102000,678089,1198180,1009515.7350390987
06-03,2401072,995967,924133,649070,1198180,967900.4684266713
06-04,1627907,43000,233917,880693,732844,745663.4058873489
06-05,1030556,145803,1311267,1795806,1474452,1227079.5712438843
06-06,534235,397894,807514,611210,666718,672240.0805823111
06-07,1360307,10374,328430,1213845,1198180,1323273.8172261424
06-08,3598011,1593326,928276,1001102,2919146,2684113.773636216
06-09,1030556,826587,985410,445759,1198180,1123178.6505459505
06-10,806997,33113,1239409,224683,2610859,2227854.998908822
06-11,1590813,105504,985410,196783,1060373,1080964.750198592
06-12,4835,916661,174263,1470461,33434,221519.36066189094
06-13,825046,995967,1735664,1001102,1198180,1080065.9086947043
06-14,1030556,482812,985410,534095,2993596,1759216.1531754984
06-15,1280016,1730771,1899715,911277,816956,961424.5430603455
06-16,154873,995967,985410,432767,102566,1076637.2635918518
06-17,1030556,262391,37940,1062607,371839,675398.7111857082
06-18,376422,2339132,2215330,1309072,277098,731012.0778141607
06-19,2258137,86988,985410,1001102,1198180,975847.7727680615
06-20,206230,1123371,985410,1330509,2908700,2016431.3207409745
06-21,1030556,525424,106262,1461574,475899,918576.786034447
06-22,1587242,995967,1144069,1103883,583735,817439.3675978343
06-23,138000,995967,2170126,1367994,2111541,1711903.255249269
06-24,672380,1915380,625379,156025,1946630,1606322.355005679
06-25,580927,2079863,985410,390298,1198180,1070366.1590278016
06-26,1522914,254017,985410,1001102,2068514,1538515.5304656706
06-27,354151,668400,338816,794999,1198180,1010838.5984890063
06-28,729882,2358632,985410,1001102,1198180,1286516.8779157477
06-29,1030556,995967,1601478,1308869,1118273,1223839.7163633916
06-30,491886,185672,1084148,1994199,545951,927214.5918976113
07-01,1030556,266878,1481618,341190,1986833,1470122.7108206616
07-02,343929,995967,1063588,1519759,2386754,1649736.2914150374
07-03,721862,995967,985410,753561,287116,1018379.5554320238
07-04,635614,162940,223800,120809,1198180,1359642.4556152683
07-05,1849462,1216573,985410,1001102,1572461,1086758.8319468652
07-06,410929,1877885,470811,1001102,348147,971269.1330873673
07-07,1030556,517177,772192,644112,1198180,1021850.2327251392
07-08,2271569,2634044,1191553,2014225,1198180,1324673.267498965
07-09,1466534,995967,2505064,2875213,205556,474532.94177175086
07-10,853516,1753099,1199043,1001102,2504648,1610684.8932954092
07-11,265174,995967,241137,312693,7169,993281.8947756799
07-12,2101044,995967,985410,1001102,3012812,1401415.5003188206
07-13,1030556,995967,975980,795646,441931,1073417.4407890383
07-14,890793,995967,1963444,1877828,1198180,1293581.5481879988
07-15,1384564,1245311,31752,1107547,26000,672939.2115098579
07-16,271203,1461359,705290,1001102,1198180,1257450.7428819516
