Month_Day,2018,2019,2020,2021,2022,2023,2024
01-01,337485,686993,1284272,1244317,1285112,1425738.6340091808,1388649.2369457455
01-02,1030556,1920106,985410,1499299,805926,935734.9176972242,1001310.6338710877
01-03,1030556,1598395,985410,1115398,1198180,1191723.2870730658,1208877.7782462467
01-04,697207,1621244,110652,213313,2054215,1459776.866458301,1574319.4857392237
01-05,1464201,148152,985410,1020265,1198180,1248669.3317323937,1229202.6307597398
01-06,1841074,384235,60000,18988,1198180,868716.4822070722,915950.1506014974
01-07,1830587,995967,1308975,557750,1198180,964244.34312676,1009368.7523299288
01-08,1159316,665465,985410,1599498,262227,879396.1796524812,835724.0302409035
01-09,630753,301686,1073901,1941132,782974,905384.2600861829,940374.3892525687
01-10,1557073,1906228,985410,1001102,2744039,1825962.7086816037,1775618.3617032694
01-11,1030556,1969674,1564611,1001102,1662263,1120274.3954777876,1231920.6147167503
01-12,263069,389311,711530,135143,1467857,1406222.5512910904,1367994.945881645
01-13,1030556,995967,1772869,470994,1198180,1120725.5363825967,1145656.7681258093
01-14,508842,330847,645836,107926,1198180,1220590.7237140231,1216085.524906086
01-15,2354455,1319344,83479,564197,447559,718071.3442481138,744588.3616611323
01-16,1030556,661691,985410,824859,1483570,1136250.295802066,1221934.2278438774
01-17,1354446,86607,780435,359376,262993,659540.0091541157,635460.9606183986
01-18,629733,628160,985410,1282300,157045,944630.813693332,818517.7430149037
01-19,1577791,1494600,603142,1001102,1128200,1388258.1778385032,1350742.1718252434
01-20,142694,995967,439939,963493,1198180,1196025.4537859843,1179488.8436417263
01-21,1030556,1474941,1952793,158840,2101004,1841248.2631888287,1778883.9454992819
01-22,2527535,1467823,192738,185522,1001912,957444.9449660712,1042875.2362660095
01-23,1030556,142513,1061872,1548146,1129780,1164981.519396673,1210220.7236238616
01-24,1030556,27319,227081,413233,143641,485053.4851008266,543387.6292908988
01-25,1030556,1222646,985410,319128,1145817,1073327.0948521877,1150359.452492612
01-26,1104338,1206472,985410,1001102,1159382,1172207.7205853336,1199659.6606724823
01-27,954906,995967,784544,492286,185400,698864.0789209672,694481.431280836
01-28,1015526,825453,2632286,396486,1198180,1179451.56809573,1163636.5873588058
01-29,942716,1847598,945094,1962881,153826,851270.74670513,830026.3155797329
01-30,784595,150401,87876,493016,1643480,1240402.065235826,1236971.3827147423
01-31,1030556,995967,906574,1001102,1198180,1218438.955892446,1168681.4641376364
02-01,789490,1906464,985410,991597,1425002,1384936.0204222884,1254101.3386511386
02-02,1425029,52270,159551,54260,1741415,1765399.7564065347,1695772.7559420413
02-03,1496304,995967,507431,1001102,1198180,1441966.6310526177,1343394.9649598405
02-04,1411179,1249785,985410,1001102,1198180,1148284.499990993,1211355.197978209
02-05,1030556,995967,985410,158589,438234,1112520.626197128,1022398.6204084001
02-06,329730,995967,2572838,2331196,1198180,1094012.8347311374,1124674.3873075335
