Month_Day,2018,2019,2020,2021,2022,2023,2024
01-01,337485,686993,1284272,1244317,1285112,1298694.9,1294911.5
01-02,1030556,1920106,985410,1499299,805926,819765.75,820957.6
01-03,1030556,1598395,985410,1115398,1198180,1186258.6,1190855.9
01-04,697207,1621244,110652,213313,2054215,2047270.5,2047082.9
01-05,1464201,148152,985410,1020265,1198180,1157794.4,1159772.4
01-06,1841074,384235,60000,18988,1198180,1193765.8,1194500.6
01-07,1830587,995967,1308975,557750,1198180,1189299.8,1192900.1
01-08,1159316,665465,985410,1599498,262227,334830.84,332899.84
01-09,630753,301686,1073901,1941132,782974,773199.94,774521.0
01-10,1557073,1906228,985410,1001102,2744039,2619407.2,2619861.8
01-11,1030556,1969674,1564611,1001102,1662263,1595549.8,1593974.2
01-12,263069,389311,711530,135143,1467857,1470836.8,1471914.4
01-13,1030556,995967,1772869,470994,1198180,1187132.8,1188323.1
01-14,508842,330847,645836,107926,1198180,1230786.4,1229293.4
01-15,2354455,1319344,83479,564197,447559,442316.53,442666.75
01-16,1030556,661691,985410,824859,1483570,1466864.6,1462263.2
01-17,1354446,86607,780435,359376,262993,287073.44,286866.28
01-18,629733,628160,985410,1282300,157045,234678.03,235090.6
01-19,1577791,1494600,603142,1001102,1128200,1143381.5,1144671.2
01-20,142694,995967,439939,963493,1198180,1204283.5,1202742.1
01-21,1030556,1474941,1952793,158840,2101004,2085903.5,2085516.4
01-22,2527535,1467823,192738,185522,1001912,997362.75,997559.1
01-23,1030556,142513,1061872,1548146,1129780,1131288.8,1131349.1
01-24,1030556,27319,227081,413233,143641,186638.53,186138.69
01-25,1030556,1222646,985410,319128,1145817,1174033.8,1170521.0
01-26,1104338,1206472,985410,1001102,1159382,1158782.4,1164998.6
01-27,954906,995967,784544,492286,185400,205107.98,205487.55
01-28,1015526,825453,2632286,396486,1198180,1207401.2,1205870.4
01-29,942716,1847598,945094,1962881,153826,181422.88,180729.08
01-30,784595,150401,87876,493016,1643480,1635671.4,1635605.9
01-31,1030556,995967,906574,1001102,1198180,1165645.9,1172802.9
02-01,789490,1906464,985410,991597,1425002,1452241.6,1449331.8
02-02,1425029,52270,159551,54260,1741415,1739400.6,1739330.1
02-03,1496304,995967,507431,1001102,1198180,1263135.5,1257554.2
02-04,1411179,1249785,985410,1001102,1198180,1173158.8,1176705.9
02-05,1030556,995967,985410,158589,438234,604984.9,600053.25
02-06,329730,995967,2572838,2331196,1198180,1199457.2,1198989.0
02-07,688557,1476566,934975,977010,1843370,1753466.9,1754334.6
02-08,1030556,995967,985410,1101291,116126,226702.5,230803.11
02-09,1030556,312548,1268497,1001102,2471658,2381757.5,2383934.0
02-10,1088732,822724,1362825,1018816,478275,482219.4,482495.97
02-11,601293,132419,314981,1429343,1362634,1336817.0,1337487.5
02-12,460360,692093,985410,900457,726187,828734.8,825718.75
02-13,2398350,2191269,198297,211762,155059,167355.14,167160.23
02-14,1030556,303587,1049381,1001102,1198180,1260074.9,1250575.1
02-15,1030556,995967,985410,2408771,1652443,1549060.6,1546684.5
02-16,1093939,2517677,1070399,1001102,1949754,1967696.1,1966942.9
02-17,740732,995967,1500949,522482,1013301,996884.94,995751.5
02-18,523076,382618,985410,1252606,1198180,1180927.8,1180423.4
02-19,1489902,3008623,1716966,1001102,1198180,1215312.8,1215051.5
02-20,1030556,950731,985410,27739,837028,766062.9,767543.44
02-21,1030556,995967,796524,2229961,243382,278921.47,281741.12
02-22,101205,1678316,108480,1001102,2049523,2042269.9,2042182.9
02-23,1099768,995967,985410,1484415,858533,866467.5,867943.75
02-24,2467016,995967,470643,1001102,1128715,1126993.8,1129997.1
02-25,168321,239982,3137760,2253089,3460002,3450641.2,3450563.5
02-26,462624,1528091,985410,49365,150400,148400.11,149325.28
02-27,1030556,2832122,80500,63440,1931645,1931850.1,1930978.5
02-28,2634970,174908,1287027,1530044,1198180,1199358.4,1199464.2
02-29,1030556,995967,327600,1001102,1198180,1240666.5,1230600.5
03-01,1568864,30000,908411,1710320,416566,435583.9,435407.84
03-02,325350,184674,1692063,2318550,1198180,1191537.1,1191921.8
03-03,1030556,995967,1861632,1716547,2518352,2469798.5,2469811.2
03-04,851189,244133,985410,1001102,1198180,1171274.9,1175840.8
03-05,1030556,1455546,985410,516744,1198180,1188767.8,1189644.4
03-06,1030556,436210,985410,1001102,1307534,1253364.2,1254265.4
03-07,2081765,2330899,116658,717982,1675220,1677409.4,1678399.4
03-08,1030556,717189,985410,951038,2272944,2145541.5,2151749.2
03-09,1305558,1255571,985410,864154,392653,442498.03,441852.56
03-10,163942,995967,1643753,293124,2669379,2598273.2,2598318.2
03-11,115145,469899,985410,587201,1771864,1760561.8,1760120.8
03-12,510561,3456441,985410,494437,65685,103124.484,103017.18
03-13,2196313,350224,1229715,40683,135781,134575.16,134533.23
03-14,1030556,67000,985410,751293,1198180,1149260.9,1151631.5
03-15,1030556,1200668,1193342,1564704,1198180,1253986.0,1251987.1
03-16,1602161,995967,830256,1001102,1198180,1125634.8,1131707.9
03-17,1030556,76550,2627578,25192,4020098,4012147.0,4012165.5
03-18,1030556,1727729,155807,259051,1198180,1187804.2,1189787.9
03-19,1687425,2451760,32520,1001102,3059973,3056409.8,3056542.0
03-20,1655416,1080785,985410,1690959,179050,191168.69,190770.45
03-21,528260,995967,2705552,1001102,696148,727321.25,728977.06
03-22,162628,1498038,985410,2188064,1198180,1202477.2,1201584.1
03-23,1619254,1031149,794277,1001102,814368,803822.44,803765.44
03-24,1005079,104250,985410,1971625,1198180,1134152.0,1136320.6
03-25,598436,515081,1526106,1729813,1198180,1162718.5,1163291.2
03-26,158036,2629049,1260144,682275,1198180,1196652.1,1196729.2
03-27,2837339,39925,723123,199288,3101867,3095656.0,3096382.5
03-28,253320,2326837,985410,269973,1734929,1693006.5,1693212.6
03-29,1030556,1520655,985410,1275836,1124245,1155570.2,1153953.0
03-30,2553776,674306,12479,944108,1198180,1195193.8,1194395.8
03-31,236370,995967,109450,1001102,1045272,1051704.6,1048770.0
04-01,1030556,1092037,985410,1622925,1198180,1186311.4,1188371.8
04-02,711520,1838186,13758,516783,1372254,1369542.8,1368950.1
04-03,349977,1833010,1449469,3010,1482300,1462519.4,1462764.1
04-04,1030556,995967,505890,2721668,1198180,1193046.5,1197674.0
04-05,1281033,31072,2967374,549966,160327,174522.1,174542.58
04-06,1330727,2197125,985410,1001102,2018614,1962869.0,1964388.2
04-07,189976,497448,1800417,1683542,1198180,1200601.8,1201020.8
04-08,276556,995967,104170,1001102,1192210,1147976.1,1153412.2
04-09,86779,185406,207914,328894,1949806,1948883.0,1948939.9
04-10,45650,1594842,985410,917857,570090,571840.7,572770.5
