2015,2016,2017,2018,2019,2020,2021,2022,2023
20000,0,0,0,0,0,0,0,0
1346288,0,0,0,0,0,0,0,0
214500,48600,0,24000,24000,144685,194590,452294,1653150
441797,361413,679656,568203,197687,14754,0,2841,0
1374800,1961480,2034720,3308895,2385049,1697278,2512818,3724210,3315054
202834,156121,121570,26830,0,14705,0,0,0
2721,3569,4421,0,0,0,63746,124261,37999
56000,0,55900,0,27000,0,0,0,0
139924,17140,12617,197771,293091,36020,118131,18940,451180
196727,157566,87995,127016,210735,38212,0,0,0
854,5274,0,0,0,0,0,337,4701
793,0,0,0,0,0,0,0,0
11002,17868,19680,15760,7350,0,4357,252,0
359290,154585,164533,374660,48000,0,0,0,0
5109702,5314820,5244604,6075897,6054924,3769618,4065985,4882866,5722081
393,341,0,0,7200,0,0,0,0
566035,382409,0,151590,249640,427361,95800,29100,28500
461980,352496,549490,1256905,1789051,1459668,2476123,2617996,2059244
237764,397922,497486,1190201,1061663,655166,892804,1604885,1791322
2458952,2065846,1618043,1164078,2760015,3556055,3526565,4538145,4504002
536432,208759,670153,113005,99740,101161,722293,254500,1062411
11599,4508,15642,0,0,0,0,26221,6242
4500,0,0,0,0,0,0,0,0
615,14908,4805,862,193,461,0,0,688
2963,3660,46308,54503,30774,7231,1324,54478,18281
1185,8412,9937,20185,72695,107682,139982,92458,167822
7904,0,22424,0,0,0,0,0,0
49637,68277,81165,32722,91338,20678,66683,17607,14328
622620,655850,588940,756580,669685,518743,1158989,349734,213095
1831,110085,54555,22507,21271,14596,9670,22045,12922
992,0,0,0,0,0,0,0,0
1386051,1350224,1173974,1052759,1091409,746178,0,0,0
453889,818242,785932,1014895,977365,330628,709925,549448,578457
2032,1261,4764,0,0,0,0,0,0
14173,7520,7520,7776,15536,7344,7344,0,7344
29970,36866,4083,15260,23660,15818,9775,18465,34075
75,300,90,0,100,0,0,0,0
9500,0,0,0,0,0,0,0,0
7312,25848,20712,108918,364857,267992,185969,145967,246893
5312,0,0,0,27758,0,0,0,0
4420479,6209642,5164523,5699132,5264683,4868005,5257371,3189816,2040828
1878064,1194190,1240144,1312388,1547128,902088,943792,1019626,1298604
256,1506,138,1960,92,6514,25499,17316,0
19262,0,0,0,0,443848,171715,1443076,156496
64532,39979,35548,12025,12925,5462,17344,23519,8321
1750,0,0,0,0,0,0,0,0
5240,1787,3065,1023,6944,5589,2133,124,8580
125309,148841,235584,133054,23109,194717,97182,76726,66718
14663,6341,20036,18192,39140,36685,21334,33294,25039
15876,0,0,0,0,0,0,0,0
3604,0,0,0,0,2180,0,0,4515
844,0,0,0,0,0,0,0,0
32597,56582,18048,0,0,0,10400,0,0
3675,0,43986,0,0,19374,60812,257663,606151
